name01#0,"""Support Partner"""
name02#0,"""Ulc"""
name01#1,"""サポートパートナー"""
name02#1,"""ウルク"""
skit01#0,"""/ci4 3 I...<br>What should I do from now on..."""
skit02#0,"""/ci1 1 ...She was not a fighter.<br>That is why we have to protect her."""
skit01#1,"""/ci4 3 わたし……<br>これからどうすれば……"""
skit02#1,"""/ci1 1 ……彼女は元々戦えない子だ。<br>ぼくたちで守ってあげないと<br>いけないよ。"""
skit01#0,"""I...<br>What should I do from now on..."""
skit02#0,"""...She was not a fighter.<br>That is why we have to protect her."""
skit01#1,"""わたし……<br>これからどうすれば……"""
skit02#1,"""……彼女は元々戦えない子だ。<br>ぼくたちで守ってあげないと<br>いけないよ。"""
