IncidentName#0,"""Angeles de Fuego"""
TrialBeginMsg#0,"""Rescatar a las victimas rodeadas por el fuego!"""
TrialAbstract#0,"""Rescatar a las victimas rodeadas por el fuego!"""
NpcComOnBegin#0,"""Las personas estan dispersas alrededor de la ciudad en espera de su rescate! Por favor, ayudalos inmediatamente!"""
NpcComOnSuccess#0,"""/face2 All people in need of assistance have been successfully rescued. Good job!"""
NpcComOnFailure#0,"""This is dangerous! The risk is high, but I'm forcing the transfer of all the people left!"""
NotifyPos#0,"""I've checked the position of the people in need of rescue and have displayed them in your map. Please, rescue them immediately!"""
NotifyMethod#0,"""Once the fire has been extinguished completely, ensure the safety of the people personally to complete the transfer."""
FirstTrans#0,"""Coordinates checked. Transfer: Successful! Keep going!"""
RescueeFound#0,"""We've found more people. If you<br>don't put out the fires, the transfer may fail. Extinguish those fires!"""
GeneratorAdd#0,"""I've confirmed the existence of more people in need of assistance. Please, help them all!"""
TimeLimitNear#0,"""Rescuers, this is a risky situation! Please, hurry up!"""
TimeLimitHurry#0,"""The victims vital signs are reaching critical levels! Porfavor rescue them at once!"""
RescueMethod#0,"""The fires have been extinguished. Ensure the safety of the victims and send us their coordinates."""
NpcComOnBegin#1,"""There's people in need of assistance all across the city areas. Porfavor perform an emergency rescue."""
NpcComOnSuccess#1,"""The transfer of all the people has been confirmed. Well done."""
NpcComOnFailure#1,"""There's still some people left. The risk is very high, but I will have to force their transfer."""
NotifyPos#1,"""I've checked the position of people who need help and marked them in your minimap. Hurry."""
NotifyMethod#1,"""The exact coordinates of the people are extremely important to ensure a safe transfer. Check on them personally after you're done with the fire."""
FirstTrans#1,"""The coordinates have been sent, the transfer is complete. Keep going."""
RescueeFound#1,"""Victim found. Put out the fire to eliminate the transfer risk. Once it's done, continue."""
GeneratorAdd#1,"""We have locations for newfound victims. Hurry to their rescue!"""
TimeLimitNear#1,"""Time is running out. Rescue as many people as possible!"""
TimeLimitHurry#1,"""If this keeps on, it's going to get dangerous. Hurry!"""
RescueMethod#1,"""The fires have been put out, safe transfer is now possible. Check on the people and send us their exact coordinates."""
NpcComOnBegin#2,"""All around the city, there are a lot of people that have failed to escape! Proceed with the rescue, please!"""
NpcComOnSuccess#2,"""/face2 All victims have been rescued! Good job!"""
NpcComOnFailure#2,"""/face4 You did your best... Even though it's dangerous, I'll force the transfer of the remaining people!"""
NotifyPos#2,"""I've found more people that couldn't escape! Look at your minimap, please!"""
NotifyMethod#2,"""To ensure the transfer of the victims, we need their exact coordinates. Porfavor check on them yourself after the fire is gone!"""
FirstTrans#2,"""/face2 The coordinates are confirmed. The transfer is complete! Porfavor continue with your mission!"""
RescueeFound#2,"""It's too risky to transport<br>them while they're surrounded by<br>flames! Extinguish the fires first!"""
GeneratorAdd#2,"""W-What?! More victims are appearing everywhere! Please, give them the help they need!"""
TimeLimitNear#2,"""Hurry! Porfavor hurry!"""
TimeLimitHurry#2,"""/face4 Almost out of time!<br>Faster! Faster!"""
RescueMethod#2,"""/face2 The fire is extinguished! Check on the victims and send me their coordinates, please."""
