text01#0,"""One of the Hunter's favorite weapons<br>is the wired lance."""
text02#0,"""It's got a long reach and great versatility.<br>You can even ensnare opponents and use them<br>in other attacks. It's a very unique weapon."""
text03#0,"""The best way to learn how to use it is<br>to dive in headfirst. No textbooks required!"""
text04#0,"""It just so happens I have a spare wired gain<br>lying around. Take it and go practice a bit."""
text05#0,"""Wired Lances"""
text06#0,"""Wired lances are melee weapons with wire that can be<br>extended or retracted at will, allowing you to<br>grapple enemies and throw them around."""
text07#0,"""Try basic wired lance attacks and photon arts for yourself.<br><br>It is a flexible weapon that you can use to run circles around enemies,<br>all while unleashing wide-ranging attacks that take advantage<br>of its huge attack radius. You can also use it for throws that put medium sized<br>and smaller enemies out of commission, using them for your own attacks."""
text01#1,"""ハンターの得意武装の一つに<br>ワイヤードランスというものがある。"""
text02#1,"""リーチが長く、変幻自在。<br>相手を捕縛し、攻撃に利用することも<br>出来る。非常にユニークな武装だ。"""
text03#1,"""基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ワイヤードランスが一本余っている。<br>これを使って少し練習してくるといい。"""
text05#1,"""『ワイヤードランス』について"""
text06#1,"""武器「ワイヤードランス」について、説明します。<br><br>ワイヤードランスは、伸縮自在のワイヤーを伸ばし<br>敵を掴んで投げ、叩き付ける攻撃を得意とする打撃武器です。"""
text07#1,"""ワイヤードランス系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>伸縮自在のトリッキーな動きで敵を翻弄しつつ<br>最大の攻撃範囲を活かした広範囲攻撃と<br>投げ技により中型以下の敵を無効化することも可能です。"""
