name01#0,"""Karin"""
skit01#0,"""Wow, you sure did a good job!<br>You've managed to complete all of the Stages!<br>We've also got a heap of wonderful data from it!"""
skit02#0,"""Ah, by the way. Next time you do an <br>Extreme Quest, it'll start from the <br>first stage again! Just letting you know! """
skit03#0,"""But in exchange for starting over, <br>we're giving you a ton of Spellstones! <br>So try your best next time too, okay?"""
skit04#0,"""In any case! You also get to take <br>items corresponding to the amount <br>of Stage Orders you completed!"""
skit05#0,"""Pick whichever items you'd like <br>from the Extreme Terminal.<br>Now then. Good work!"""
skit06#0,"""Also, as a service to you we're also going to give <br>you catalysts to change the Spellstones into <br>other types of Spellstones!"""
text01#0,"""Karin gave you 4 \""Bloody Moon Ores\""."""
text02#0,"""Karin gave you a \""Bloody Moon Catalyst\""."""
text03#0,"""Karin gave you 3 \""Bloody Moon Ores\""."""
text04#0,"""Karin gave you 15 \""Bloody Moon Ores\""."""
text05#0,"""Karin gave you 25 \""Bloody Moon Ores\""."""
