name01#0,"""Koffie."""
11_voice_NPC_5050_104#0,"""<%me>.<br>Good work.<br>I am Officer Koffie."""
text02#0,"""Thanks to the hard work of ARKS,<br>a new planet has been discovered: Wopal."""
text03#0,"""For someone with your abilities, we don't need to do a search permission exam or application or anything."""
text04#0,"""Please feel free to head out whenever you've got the time to conduct searches or missions."""
text05#0,"""Now then, keep up the good work."""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""アークスの活躍により<br>新たな惑星、ウォパルが<br>発見されました。"""
text03#1,"""貴方の実力ならば<br>探索許可申請試練の必要はないと<br>判断します。"""
text04#1,"""貴方の随意のタイミングで<br>調査や任務へと赴いてください。"""
text05#1,"""では、今後とも<br>よろしくお願いします。"""
