st_043040_0001#0,"""A.P.241/4/2/15:00"""
st_043040_0010#0,"""さて、情報をもろもろ分析した上で<br>これからの私たちの行動ですが……"""
st_043040_0020#0,"""向こうの出方待ちです。"""
st_043040_0030#0,"""い……いいの、そんな悠長に構えてて？"""
st_043040_0040#0,"""敵勢力の目的でわかっているのは<br>アルくんを狙っているということのみ。<br>アルくんを守りつつ、様子見がベストです。"""
st_043040_0050#0,"""今回の相手はダーカーじゃなく、人間です。<br>派手に動くのは得策じゃありません。<br>今、私たちに出来ること、ありません。"""
st_043040_0060#0,"""だから、ヒツギさんもアルくんも<br>この間にやりたいことや気になることを<br>終わらせておいた方がいいと思いますよ。"""
st_043040_0070#0,"""事態が動き始めたら、きっとのんびりとか<br>してられないと思いますからね。"""
st_043040_0080#0,"""やりたいこと、気になること……"""
st_043040_0090#0,"""そういえば、ヒツギさんには<br>お兄さんがいましたよね？<br>連絡しておかなくて大丈夫なんですか？"""
st_043040_0100#0,"""え、確かにいるけど……何で知ってるの？"""
st_043040_0110#0,"""あ、は……や、やっぱりですかー！<br>いやー、お兄さんがいそうな顔立ちを<br>されていたので、そうだと思いましたー！"""
st_043040_0120#0,"""まあいいけど。"""
st_043040_0130#0,"""確かに、兄さんには<br>話しておかないと迷惑かけちゃうか。<br>何か連絡を取る方法を……"""
st_043040_0140#0,"""だったら、直接行ってくればいいじゃないですか。<br>ね、<%me>さん。"""
st_043040_0150#0,"""え……いやでも、さっき待機って……"""
st_043040_0160#0,"""それは、アークスの方針です。<br>ヒツギさんとアルくんはお客さまですから<br>その行動を止める理由はありません。"""
st_043040_0170#0,"""遠慮は無用ですよ、ヒツギさん。<br>家族や兄弟には直に会ってこそ、です。<br>もちろん、しっかりサポートはしますから。"""
st_043040_0180#0,"""……二人とも、ありがとう。<br>じゃあ、ちょっとだけ会いに行ってくる。<br>サポート、お願い。"""
