Title#0,"""T:解き放たれし鋼鉄の威信"""
Explanation#0,"""惑星・地球の日本近海において<br>巨大な幻創種の反応を確認した。<br>幻創種は、都市部へと侵攻を開始しており<br>このまま放置すれば、現実の世界にも<br>大きな被害が出ることが予測される。<br>アークス各員は、至急現地へと赴き<br>目標を撃破し、その侵攻を阻止せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""幻創戦艦・大和を撃退せよ！"""
a1#0,"""Beende einen bestimmten Klientauftrag."""
a2#0,"""Beende einen bestimmten Klientauftrag."""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
NpcComMsg1#0,"""これより、太平洋特定海域で検知された<br>超巨大反応の迎撃作戦を開始します。"""
NpcComMsg2#0,"""まずは、目標の移動手段を封じます。<br>出撃後Ａ．Ｉ．Ｓで新型凍結弾を輸送し<br>目標を付近の海ごと凍結させます。"""
NpcComMsg3#0,"""その後、目標を一気に撃破してください。<br>ただし、目標の武装状況から、かなりの<br>反撃が予想されます……お気を付けて。"""
NpcComMsg1#1,"""目標は飛行を開始しています。<br>都市部に接近される前に、<br>早急に撃破しなければなりません。"""
NpcComMsg2#1,"""A.I.Sの新装備「ハイブースト」を駆使して<br>目標に接近、撃破してください。<br>ご武運を、お祈りしています！"""
Area0S#0,"""日本近海"""
Area0L#0,"""惑星・地球\u3000日本近海"""
Area1S#0,"""日本近海"""
Area1L#0,"""惑星・地球\u3000日本近海"""
