IncidentName#0,"""Matar a todos los Magatsu!"""
TrialBeginMsg#0,"""Derrota a todos los Magatsu dentro del limite de tiempo!"""
TrialAbstract#0,"""Derrota a todos los Magatsu dentro del limite de tiempo!"""
NpcComOnBegin#0,"""Esta es una orden para todos los operadores de A.I.S.. Su objetivo es destruir todos los objetivos dentro del timepo limite. ¡Buena suerte!"""
NpcComOnMge1Hp50#0,"""The target's stamina has fallen.<br>Porfavor continua con el asalto."""
NpcComOnMge1Hp10#0,"""Al objetivo le queda poca vida. Continua como vas y acabalo."""
NpcComOnMge1Dead#0,"""目標の討伐を確認。<br>……いえ、これは……『禍津』内に<br>高エネルギー反応あり！\u3000そんな！"""
NpcComOnMge2Hp50#0,"""El objetivo ahora esta con<br>un 50% de vitalidad. por favor no bajes la guardia."""
NpcComOnMge2Hp10#0,"""A el objetivo le queda poca vida. Continua como vas y acabalo."""
NpcComOnMge2Dead#0,"""El objetivo ha sido derrotado.<br>Pero todavia quedan mas...<br>sigue con cuidado。"""
NpcComOnMge3Attack#0,"""Detecto altas ondas de energia en el<br>interior del objetivo, todos los A.I.S.,<br>evadan el ataque!"""
NpcComOnMge3Hp50#0,"""Estan disminuyendo sus lecturas<br>vitales sigan con el ataque!"""
NpcComOnMge3Hp10#0,"""目標の体力はあとわずか。<br>これで最後、一気に仕留めて<br>終わりにしましょう！"""
NpcComOnSuccess#0,"""Ha sido confirmada la desaparicion de<br>\""MagaTsu Sai\"". La mision se ha completado.<br>Felicitaciones por su buen trabajo."""
NpcComOnBegin#1,"""＊"""
NpcComOnMge1Hp50#1,"""＊"""
NpcComOnMge1Hp10#1,"""＊"""
NpcComOnMge1Dead#1,"""＊"""
NpcComOnMge2Hp50#1,"""＊"""
NpcComOnMge2Hp10#1,"""＊"""
NpcComOnMge2Dead#1,"""＊"""
NpcComOnMge3Attack#1,"""＊"""
NpcComOnMge3Hp50#1,"""＊"""
NpcComOnMge3Hp10#1,"""＊"""
NpcComOnSuccess#1,"""＊"""
NpcComOnBegin#2,"""＊"""
NpcComOnMge1Hp50#2,"""＊"""
NpcComOnMge1Hp10#2,"""＊"""
NpcComOnMge1Dead#2,"""＊"""
NpcComOnMge2Hp50#2,"""＊"""
NpcComOnMge2Hp10#2,"""＊"""
NpcComOnMge2Dead#2,"""＊"""
NpcComOnMge3Attack#2,"""＊"""
NpcComOnMge3Hp50#2,"""＊"""
NpcComOnMge3Hp10#2,"""＊"""
NpcComOnSuccess#2,"""＊"""
NpcComOnBegin#3,"""＊"""
NpcComOnMge1Hp50#3,"""＊"""
NpcComOnMge1Hp10#3,"""＊"""
NpcComOnMge1Dead#3,"""＊"""
NpcComOnMge2Hp50#3,"""＊"""
NpcComOnMge2Hp10#3,"""＊"""
NpcComOnMge2Dead#3,"""＊"""
NpcComOnMge3Attack#3,"""＊"""
NpcComOnMge3Hp50#3,"""＊"""
NpcComOnMge3Hp10#3,"""＊"""
NpcComOnSuccess#3,"""＊"""
NpcComOnBegin2S#0,"""よく聞くのじゃ。<br>これから「唱結界」の力で<br>『禍津』を浄化する準備を始める。"""
NpcComOnBegin3S#0,"""そなたらは『禍津』を「唱結界」の内に<br>留めおいてくれ。<br>無論、倒してしまっても構わんぞ。"""
NpcComOnMge1Hp90S#0,"""この『禍津』の力は偏っておるな。<br>この器の弱点は<red>射撃<black>のようじゃ。"""
NpcComOnMge2Begin2S#0,"""あれは『禍津』の魂じゃ。<br>身体など、ヤツにとってはただの器。<br>砕いても、魂までは浄化できん。"""
NpcComOnMge2Begin3S#0,"""だが、器がなければ何も出来ぬ。<br>そなたらはこのまま戦いを続けよ。<br>『禍津』の魂は、わらわが封じる。"""
NpcComOnMge2Hp90S#0,"""こやつも偏りがあるようじゃ。<br>この器には<red>斬撃<black>で対抗せよ。"""
NpcComOnMge3Begin2S#0,"""『禍津』も本気のようじゃな。<br>倒すには骨が折れるであろうが<br>ヤツの消耗も大きいはずじゃ。"""
NpcComOnMge3Begin3S#0,"""この器を倒せば、時を待たずとも<br>「唱結界」で浄化ができるであろう。<br>……頼むぞ。"""
NpcComOnMge3Hp90S#0,"""こやつの<red>両膝<black>、<red>両肩<black>、<red>腹部<black>と<red>頭部<black>に<br>力が集まっておるようじゃ。<br>それを壊せば有利に事を運べよう。"""
NpcComOnTimeOut0Mge1S#0,"""ち、逃げられてしまったな。<br>だがまあ、ヤツの魂は削れた。<br>まずまずの結果じゃろう。"""
NpcComOnTimeOut0Mge2S#0,"""『禍津』を押さえ込めたのは<br>そなたらの尽力あってこそ。<br>感謝を述べるぞ。"""
NpcComOnTimeOut1Mge1S#0,"""ち、逃げられてしまったな。<br>だが、ヤツの魂は相当削っておいた。<br>上々の結果じゃな。"""
NpcComOnTimeOut1Mge2S#0,"""『禍津』を押さえ込めたのは<br>そなたらの尽力あってこそ。<br>感謝を述べるぞ。"""
