linewindow#0,"""Teams"""
text00#0,"""Teams"""
text01#0,"""Once one of your classes is level 10 or higher, you can create a team.<br><br>Having a team lets you chat with other team members<br>to keep in touch, even when they're located in another block or room.<br><br>You can also join a team before you reach level 10 by receiving<br>an invitation from another player."""
text02#0,"""All characters using the same Player ID and on the same ship will belong<br>to the same team.<br><br>Team members are all assigned a rank. Team member ranks are displayed<br>in the team member list."""
text03#0,"""TEAM RANKS<br><yellow>Team Leader<c>: Can use all team functions.<br><br><yellow>Manager<c>: Can use basic team functions and invite others.<br><br><yellow>Member<c>: Can use basic team functions.<br><br><yellow>Prospect<c>: Prospective new members that have not yet been approved by the Team Leader.<br>Can use basic team functions."""
text04#0,"""Expanding your team:<br><br>It is possible to expand teams. <br>Expanding a team provides benefits, such as a special<br>Team Room and a Team storage that is shared by all members."""
text05#0,"""Expanding a team provides benefits such as a special team room and a team storage<br>that is shared by all members."""
text06#0,"""To expand a team, you will require team points. Team points are earned by completing requests.<br><br>You may accept requests and also receive request rewards via Team Counter Clerks <br>accessible on both Team Room and ARKS Gate Area."""
text07#0,"""New expansion options are unlocked as your team gains levels. Work together to build<br>a strong, unique team!"""
linewindow#1,"""<br>『チーム』について<br>"""
text00#1,"""『チーム』について"""
text01#1,"""いずれかのクラスレベルが１０以上になるとチームを作れます。<br><br>チームとは１つのコミュニティのことで、<br>同じチームメンバー同士であれば、チームチャットを使って<br>違うブロックやマイルームにいても連絡をとることができます。<br><br>クラスレベルが１０に達していなくても<br>他の人に誘ってもらうことで、チームに所属することもできます。"""
text02#1,"""同じSEGA ID、同じシップのキャラクターは、<br>全て同じチームに所属することになります。<br><br>チームメンバーは役職が１つ割り当てられます。<br>役職はチームメンバー一覧で確認することができます。"""
text03#1,"""【チームの役職】<br><yellow>チームマスター<c>　…チームの全機能を使用できます。<br><br><yellow>マネージャー<c>　　 …基本的な機能の他、他の人をスカウトできます。<br><br><yellow>コモンメンバー<c>　…チームの基本的な機能を使用できます。<br><br><yellow>ビジター<c>　　　　　　…チームマスターに承認される前の仮加入状態です。<br>　　　　　　　　　　　　　　　チームの基本的な機能を使用できます。"""
text04#1,"""チームの拡張について説明します。<br><br>新たにチームの要素に拡張機能が実装されました。<br>チームを拡張すると専用のルームを所持したり<br>チーム用の倉庫をメンバーで共有できたりします。"""
text05#1,"""また、チームを拡張すると専用のルームを所持したり<br>チーム用の倉庫をメンバーで共有できたりします。"""
text06#1,"""チームを拡張するには、チームポイントが必要です。<br>チームポイントはオーダーを達成することで獲得します。<br><br>オーダーはチームカウンターで受注することができます。<br>アークスカウンター内、チーム専用ルームの<br>どちらのキャラクターでも受注・報告が可能です。"""
text07#1,"""チームレベルが上昇すると拡張できることも増えます。<br>メンバーで協力し、より強く個性的なチームを目指しましょう。"""
