pr_043010_0010#0,"""……くそっ！<br>くそっ、くそっくそっ！"""
pr_043010_0020#0,"""なんなんだ、なんなんだよあれは！<br>聞いてないぞ、あんなのがいるなんて……！"""
pr_043010_0030#0,"""この私が……完全に出し抜かれた……！<br>この、亜贄萩斗が……！<br>選ばれた人間の、この私が……ッ！！"""
pr_043010_0040#0,"""このままではマザーへの面目が立たない……<br>なにより、私の沽券に関わる……！"""
pr_043010_0050#0,"""……だが、まだだ！<br>私は、まだ負けたわけではない！"""
pr_043010_0060#0,"""私の軍隊は、不滅の軍！<br>なあそうだろう、エメラルド・タブレット！"""
pr_043010_0070#0,"""あれで足りないのであれば<br>もっと強いものを、もっと凄いものを<br>生み出すまでだ！\u3000そうだろう！"""
pr_043010_0080#0,"""……さあ、吸え、エーテルを吸え！<br>エメラルド・タブレット！"""
pr_043010_0090#0,"""お前は、私の生み出した最高傑作だ！<br>お前の力は、この程度ではない！"""
pr_043010_0100#0,"""我が袂より羽ばたき<br>その力を示せ、エメラルド・タブレット！<br>お前の具現に……限界はないッ！"""
pr_043010_0110#0,"""ふふふ、ははははっ！<br>ははははははっ！！"""
