Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/ci1 1 ケーキ屋を探すだけっていうから<br>ついてきてみたら、やれやれって<br>感じだな……"""
Success#1,"""/mn6 /ci2 1 ……情けない話だけど<br>センパイのおかげで<br>なんとかなった、って感じだな。"""
Failure#1,"""/ci4 1 ……よくわかった。<br>おれは、まだまだ未熟だ。<br>次はもっと、うまくやる！"""
Dead#1,"""/ci4 1 ……ちぇっ。<br>後輩の前でこの体たらくとか<br>だっさいなあ、おれ……"""
BuddyDead#1,"""/mn3 /ci3 2 ロッティ！<br>くそっ……目の前にいた後輩を<br>守ることも出来ないなんて……！"""
Evolution#1,"""/ci1 2 まだ来るのか？<br>ケーキ屋を探しに来ただけなのに<br>ずいぶん大事になってきちゃったな……"""
Begin#2,"""/mn18 /ci1 2 センパイ、おれからも頼む。<br>探し物があるっていうからさ。<br>ちょっと急いでたんだ。"""
Success#2,"""/mn29 /ci5 3 t5 ……な、なんだよセンパイ、その目は。<br>おれはお手伝い。ケーキが欲しくて<br>探してるわけじゃないんだからな。"""
Failure#2,"""/mn7 センパイ、悪い……<br>これ以上は厳しいみたいだ。<br>……本当に、ごめんなさい。"""
Dead#2,"""/mn22 ……ああ、くそっ。<br>手伝いどころか、とんだ足手まといだ。"""
BuddyDead#2,"""/mn19 /ci5 5 t5 ……ケーキって、そんなに<br>必死になるようなものなのか？<br>おれには、よくわからないな。"""
Begin#3,"""/mn2 /ci2 5 アザナミさんの言うとおり<br>おれ達だけだと、ちょっと厳しくってさ<br>手を貸して欲しいんだ。"""
Success#3,"""/ci2 1 確かに、張り切りすぎたよな……<br>次からは気をつけて行こうぜ。<br>センパイ、助けてくれてありがとな。"""
Failure#3,"""/ci5 3 くそ……失敗か。<br>悪い、センパイ。これ以上<br>迷惑かけたくないし、先に撤退する。"""
Dead#3,"""これ以上は、動けない……<br>ごめん、二人共。"""
BuddyDead#3,"""アザナミさん、大丈夫か？<br>こっちはセンパイと何とかするから<br>休んでてくれ。"""
Begin#4,"""/toge /ci1 4 センパイ！<br>おれも……戦う！<br>一緒に戦わせてくれ！"""
Success#4,"""/ci1 1 センパイ……<br>おれは、待ってる。<br>帰ってくるの、待ってるからな。"""
Failure#4,"""ごめんなさい、センパイ。<br>やる気だけが空回りしちゃった……。"""
Dead#4,"""I'm... so... sorry..."""
BuddyDead#4,"""Azanami! A-are you okay?"""
