Gat_TitleStatus#0,"""Recoleccion Status"""
Gat_TitleAbleList#0,"""Logros de Recoleccion"""
ResultNum#0,"""$(0)/$(1)"""
ResultNum_2#0,"""$(0)/"""
ResultNumTitle#0,"""<yellow>Achievements: $(0)/$(1)<c>"""
RewardNum#0,"""$(0) x$(1)"""
FeverTime_Add#0,"""+$(0) segundos"""
C_Level#0,"""Nivel de mineria"""
F_Level#0,"""Nivel de pesca"""
NextLevel#0,"""$(0) Logros para el proximo nivel"""
Percent#0,"""$(0)%"""
Percent2#0,"""+$(0).$(1)%"""
ComboBonus#0,"""$(0)～$(1)"""
NumAchieve#0,"""$(0) Logros"""
Time_3#0,"""$(0):$(1)"""
Time_2#0,"""$(0) minutos"""
Time_2Add#0,"""($(1) recuperacion en $(0))"""
Time_3Add#0,"""$(0)"""
No_Achievable#0,"""No hay logros disponibles."""
NoItemMsg#0,"""No hay logros"""
RareF_Rate#0,"""Rare Fishing Rate Up $(0).$(1)%"""
RareC_Rate#0,"""Rare Collection Rate Up $(0).$(1)%"""
AddF_Rate#0,"""Additional Fishing Rate Up $(0).$(1)%"""
AddC_Rate#0,"""Coleccion adicional Rate Up $(0).$(1)%"""
Name_C0000#0,"""Coleccion 1"""
Name_C0001#0,"""Coleccion 2"""
Name_C0002#0,"""Coleccion 3"""
Name_C0003#0,"""Coleccion 4"""
Name_C0004#0,"""Coleccion 5"""
Name_C0005#0,"""Coleccion 6"""
Name_C0006#0,"""Coleccion adicional 1"""
Name_C0007#0,"""Coleccion adicional 2"""
Name_C0008#0,"""Coleccion adicional 3"""
Name_C0009#0,"""Coleccion adicional 4"""
Name_C0010#0,"""Rare Collection 1"""
Name_C0011#0,"""Rare Collection 2"""
Name_C0012#0,"""Rare Collection 3"""
Name_C0013#0,"""Rare Collection 4"""
Name_C0014#0,"""Vegetable Collection 1"""
Name_C0015#0,"""Fruit Collection 1"""
Name_C0016#0,"""Grain Collection 1"""
Name_C0017#0,"""Mineral Collection 1"""
Name_C0018#0,"""Coleccion 7"""
Name_C0019#0,"""Coleccion 8"""
Name_C0020#0,"""Coleccion 9"""
Name_C0021#0,"""Coleccion 10"""
Name_C0022#0,"""Coleccion 11"""
Name_C0023#0,"""Coleccion adicional 5"""
Name_C0024#0,"""Coleccion adicional 6"""
Name_C0025#0,"""Coleccion adicional 7"""
Name_C0026#0,"""Coleccion adicional 8"""
Name_C0027#0,"""Coleccion adicional 9"""
Name_C0028#0,"""Rare Collection 5"""
Name_C0029#0,"""Rare Collection 6"""
Name_C0030#0,"""Rare Collection 7"""
Name_C0031#0,"""Rare Collection 8"""
Name_C0032#0,"""Rare Collection 9"""
Name_C0033#0,"""Vegetable Collection 2"""
Name_C0034#0,"""Fruit Collection 2"""
Name_C0035#0,"""Grain Collection 2"""
Name_C0036#0,"""Mineral Collection 2"""
Name_C0037#0,"""Jewel Collection 1"""
Name_C0038#0,"""Forest Collection 1"""
Name_C0039#0,"""Forest Collection 2"""
Name_C0040#0,"""Forest Collection 3"""
Name_C0041#0,"""Forest Tomato Collection 1"""
Name_C0042#0,"""Forest Tomato Collection 2"""
Name_C0043#0,"""Forest Rice Collection 1"""
Name_C0044#0,"""Forest Rice Collection 2"""
Name_C0045#0,"""Naberdake Collection 1"""
Name_C0046#0,"""Forest Emerald Collection 1"""
Name_C0047#0,"""Ruins Collection 1"""
Name_C0048#0,"""Ruins Collection 2"""
Name_C0049#0,"""Ruins Collection 3"""
Name_C0050#0,"""Ruins Grape Collection 1"""
Name_C0051#0,"""Ruins Grape Collection 2"""
Name_C0052#0,"""Ruins Onion Collection 1"""
Name_C0053#0,"""Ruins Onion Collection 2"""
Name_C0054#0,"""Naberdake Collection 1"""
Name_C0055#0,"""Ruins Amethyst Collection 1"""
Name_C0056#0,"""Coast Collection 1"""
Name_C0057#0,"""Coast Collection 2"""
Name_C0058#0,"""Coast Collection 3"""
Name_C0059#0,"""Coast Salt Collection 1"""
Name_C0060#0,"""Coast Salt Collection 2"""
Name_C0061#0,"""Coast Olive Collection 1"""
Name_C0062#0,"""Coast Olive Collection 2"""
Name_C0063#0,"""Vopar Shell Collection 1"""
Name_C0064#0,"""Coast Sapphire Collection 1"""
Name_C0065#0,"""Tokyo Collection 1"""
Name_C0066#0,"""Tokyo Collection 2"""
Name_C0067#0,"""Tokyo Collection 3"""
Name_C0068#0,"""Tokyo Soybean Collection 1"""
Name_C0069#0,"""Tokyo Soybean Collection 2"""
Name_C0070#0,"""Earthrock Collection 1"""
Name_C0071#0,"""Earthrock Collection 2"""
Name_C0072#0,"""Empty Bottle Collection １"""
Name_C0073#0,"""Tokyo Opal Collection 1"""
Name_C0074#0,"""Desert Collection 1"""
Name_C0075#0,"""Desert Collection 2"""
Name_C0076#0,"""Desert Collection 3"""
Name_C0077#0,"""Desert Pepper Collection 1"""
Name_C0078#0,"""Desert Pepper Collection 2"""
Name_C0079#0,"""Desert Mango Collection 1"""
Name_C0080#0,"""Desert Mango Collection 2"""
