IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""Derrotar a $(0)!"""
TrialAbstract#0,"""$(0) Suppression"""
NpcComOnBegin#0,"""目標付近への転送、追撃開始！<br>目標から離れすぎないように<br>気を付けてください！"""
NpcComOnHpDecreased0#0,"""攻撃、効いていますよ！"""
NpcComOnHpDecreased1#0,"""目標の体力、低下しています！<br>そのまま攻撃を続けてください！"""
NpcComOnHpDecreasedLast#0,"""目標の体力、さらに低下！<br>あと少しですよ！"""
NpcComOnTimeCourse#0,"""目標の進行方向、確定しました！<br>幻創の柱を目指して動いています！"""
NpcComOnTimeSecond#0,"""目標、幻創の柱に間もなく到着します！"""
NpcComOnBegin#1,"""目標付近への転送、追撃開始！<br>目標から離れすぎないように<br>気を付けてください！"""
NpcComOnHpDecreased0#1,"""攻撃、効いていますよ！"""
NpcComOnHpDecreased1#1,"""目標の体力、低下しています！<br>そのまま攻撃を続けてください！"""
NpcComOnHpDecreasedLast#1,"""目標の体力、さらに低下！<br>あと少しですよ！"""
NpcComOnTimeCourse#1,"""目標の進行方向、確定しました！<br>幻創の柱を目指して動いています！"""
NpcComOnTimeSecond#1,"""目標、幻創の柱に間もなく到着します！"""
NpcComOnBegin#2,"""目標付近への転送、追撃開始！<br>目標から離れすぎないように<br>気を付けてください！"""
NpcComOnHpDecreased0#2,"""攻撃、効いていますよ！"""
NpcComOnHpDecreased1#2,"""目標の体力、低下しています！<br>そのまま攻撃を続けてください！"""
NpcComOnHpDecreasedLast#2,"""目標の体力、さらに低下！<br>あと少しですよ！"""
NpcComOnTimeCourse#2,"""目標の進行方向、確定しました！<br>幻創の柱を目指して動いています！"""
NpcComOnTimeSecond#2,"""目標、幻創の柱に間もなく到着します！"""
NpcComOnBegin#3,"""目標付近への転送、追撃開始！<br>目標から離れすぎないように<br>気を付けてください！"""
NpcComOnHpDecreased0#3,"""攻撃、効いていますよ！"""
NpcComOnHpDecreased1#3,"""目標の体力、低下しています！<br>そのまま攻撃を続けてください！"""
NpcComOnHpDecreasedLast#3,"""目標の体力、さらに低下！<br>あと少しですよ！"""
NpcComOnTimeCourse#3,"""目標の進行方向、確定しました！<br>幻創の柱を目指して動いています！"""
NpcComOnTimeSecond#3,"""目標、幻創の柱に間もなく到着します！"""
NpcComOnBegin#4,"""目標付近への転送、追撃開始！<br>目標から離れすぎないように<br>気を付けてください！"""
NpcComOnHpDecreased0#4,"""攻撃、効いていますよ！"""
NpcComOnHpDecreased1#4,"""目標の体力、低下しています！<br>そのまま攻撃を続けてください！"""
NpcComOnHpDecreasedLast#4,"""目標の体力、さらに低下！<br>あと少しですよ！"""
NpcComOnTimeCourse#4,"""目標の進行方向、確定しました！<br>幻創の柱を目指して動いています！"""
NpcComOnTimeSecond#4,"""目標、幻創の柱に間もなく到着します！"""
