11_voice_NPC_5050_101#0,"""Okay, now that I have your report, you've cleared<br>all the conditions and passed the test."""
text02#0,"""I hereby grant you, <%me>,<br>permission to select the Fighter class."""
text03#0,"""Now then, let me give you some advice.<br>The use of a new class gives you more<br>options in combat, it's true."""
text04#0,"""But don't get cocky. All it means is there's<br>more that you can do. It doesn't mean that<br>you've become stronger."""
text05#0,"""Don't forget that. After all, there's only one<br>of you, and we'd hate to lose you."""
text100#0,"""Fighters"""
text101#0,"""Fighters are a class skilled in close-room combat using melee<br>weapons. They use nimble movements to exploit gaps in their<br>enemy's defense and then overwhelm them with one strike after<br>another. On the other hand, their lower defensive capabilities expose<br>them to more attacks."""
text102#0,"""Attacks by Fighters gain a damage bonus when you find the right<br>combination of enemy status and attack method."""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>ファイタークラス使用を許可します。"""
text03#1,"""……さて、ここからは私の言葉。<br>新たなクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『ファイター』について"""
text101#1,"""ファイターについて説明します。<br><br>ファイターは打撃武器による近接戦闘を得意とするクラスです。<br><br>軽快な動きで敵の隙をつき、手数の多さで圧倒します。<br>反面、防御力が低い為、攻撃を受けないよう注意が必要です。"""
text102#1,"""ファイターの攻撃は<br>エネミーの状態と攻撃方法の組み合わせにより<br>条件を満たすことでダメージボーナスが得られます。"""
