Name_00000#0,"""Beginner/Striking Weapon/Nv.1"""
Name_00001#0,"""Beginner/Striking Weapon/Nv.2"""
Name_00002#0,"""Beginner/Striking Weapon/Nv.3"""
Name_00003#0,"""Beginner/Striking Weapon/Nv.4"""
Name_00004#0,"""Beginner/Striking Weapon/Nv.5"""
Name_00005#0,"""Beginner/Striking Weapon/Nv.6"""
Name_00006#0,"""Beginner/Striking Weapon/Nv.7"""
Name_00007#0,"""Beginner/Striking Weapon/Nv.8"""
Name_00008#0,"""Beginner/Striking Weapon/Nv.9"""
Name_00009#0,"""Beginner/Striking Weapon/Nv.10"""
Name_00010#0,"""Beginner/Striking Weapon/Nv.11"""
Name_00011#0,"""Beginner/Striking Weapon/Nv.12"""
Name_00012#0,"""Beginner/Striking Weapon/Nv.13"""
Name_00013#0,"""Beginner/Striking Weapon/Nv.14"""
Name_00014#0,"""Beginner/Striking Weapon/Nv.15"""
Name_00015#0,"""Beginner/Striking Weapon/Nv.16"""
Name_00016#0,"""Beginner Striking Weapon Nv.17"""
Name_00017#0,"""Beginner Striking Weapon Nv.18"""
Name_00018#0,"""Beginner Striking Weapon Nv.19"""
Name_00019#0,"""Beginner Striking Weapon Nv.20"""
Name_00020#0,"""Intermediate/Striking Weapon/Nv.1"""
Name_00021#0,"""Intermediate/Striking Weapon/Nv.2"""
Name_00022#0,"""Intermediate/Striking Weapon/Nv.3"""
Name_00023#0,"""Intermediate/Striking Weapon/Nv.4"""
Name_00024#0,"""Intermediate/Striking Weapon/Nv.5"""
Name_00025#0,"""Intermediate/Striking Weapon/Nv.6"""
Name_00026#0,"""Intermediate/Striking Weapon/Nv.7"""
Name_00027#0,"""Intermediate/Striking Weapon/Nv.8"""
Name_00028#0,"""Intermediate/Striking Weapon/Nv.9"""
Name_00029#0,"""Intermediate/Striking Weapon/Nv.10"""
Name_00030#0,"""Intermediate/Striking Weapon/Nv.11"""
Name_00031#0,"""Intermediate/Striking Weapon/Nv.12"""
Name_00032#0,"""Intermediate Striking Weapon Nv.13"""
Name_00033#0,"""Intermediate Striking Weapon Nv.14"""
Name_00034#0,"""Intermediate Striking Weapon Nv.15"""
Name_00035#0,"""Intermediate Striking Weapon Nv.16"""
Name_00036#0,"""Advanced/Striking Weapon/Nv.1"""
Name_00037#0,"""Advanced/Striking Weapon/Nv.2"""
Name_00038#0,"""Advanced/Striking Weapon/Nv.3"""
Name_00039#0,"""Advanced/Striking Weapon/Nv.4"""
Name_00040#0,"""Advanced/Striking Weapon/Nv.5"""
Name_00041#0,"""Advanced/Striking Weapon/Nv.6"""
Name_00042#0,"""Advanced/Striking Weapon/Nv.7"""
Name_00043#0,"""Advanced/Striking Weapon/Nv.8"""
Name_00044#0,"""Advanced Striking Weapon Nv.9"""
Name_00045#0,"""Advanced Striking Weapon Nv.10"""
Name_00046#0,"""Advanced Striking Weapon Nv.11"""
Name_00047#0,"""Advanced Striking Weapon Nv.12"""
Name_00048#0,"""10<yellow>★<c> /Striking Weapon/Nv.1"""
Name_00049#0,"""10<yellow>★<c> /Striking Weapon/Nv.2"""
Name_00050#0,"""10<yellow>★<c> /Striking Weapon/Nv.3"""
Name_00051#0,"""10<yellow>★<c> /Striking Weapon/Nv.4"""
Name_00052#0,"""10<yellow>★<c> /Striking Weapon/Nv.5"""
Name_00053#0,"""10<yellow>★<c> /Striking Weapon/Nv.6"""
Name_00054#0,"""10<yellow>★<c> /Striking Weapon/Nv.7"""
Name_00055#0,"""10<yellow>★<c> Striking Weapon Nv.8"""
Name_00056#0,"""10<yellow>★<c> Striking Weapon Nv.9"""
Name_00057#0,"""10<yellow>★<c> Striking Weapon Nv.10"""
Name_00058#0,"""11 <yellow>★<c> /Striking Weapon/Nv.1"""
Name_00059#0,"""11 <yellow>★<c> /Striking Weapon/Nv.2"""
Name_00060#0,"""11 <yellow>★<c> /Striking Weapon/Nv.3"""
Name_00061#0,"""11 <yellow>★<c> /Striking Weapon/Nv.4"""
Name_00062#0,"""11 <yellow>★<c> /Striking Weapon/Nv.5"""
Name_00063#0,"""11 <yellow>★<c> /Striking Weapon/Nv.6"""
Name_00064#0,"""11 <yellow>★<c> Striking Weapon Nv.7"""
Name_00065#0,"""11 <yellow>★<c> Striking Weapon Nv.8"""
Name_00066#0,"""12 <yellow>★<c> Striking Weapon Nv.1"""
Name_00067#0,"""12☆ Striking Weapon Nv.2"""
Name_00068#0,"""12☆ Striking Weapon Nv.3"""
Name_00069#0,"""12☆ Striking Weapon Nv.4"""
Name_00070#0,"""12☆ Striking Weapon Nv.5"""
Name_00071#0,"""12☆ Striking Weapon Nv.6"""
Name_00072#0,"""Not set"""
Name_00073#0,"""Not set"""
Name_00074#0,"""Not set"""
Name_00075#0,"""Striking Weapon Reset Recipe"""
Name_00076#0,"""Beginner Striking Weapon Nv.21"""
Name_00077#0,"""Beginner Striking Weapon Nv.22"""
Name_00078#0,"""Beginner Striking Weapon Nv.23"""
Name_00079#0,"""Beginner Striking Weapon Nv.24"""
Name_00080#0,"""Intermediate Striking Weapon Nv.17"""
Name_00081#0,"""Intermediate Striking Weapon Nv.18"""
Name_00082#0,"""Intermediate Striking Weapon Nv.19"""
Name_00083#0,"""Intermediate Striking Weapon Nv.20"""
Name_00084#0,"""Advanced Striking Weapon Nv.13"""
Name_00085#0,"""Advanced Striking Weapon Nv.14"""
Name_00086#0,"""Advanced Striking Weapon Nv.15"""
Name_00087#0,"""Advanced Striking Weapon Nv.16"""
Name_00088#0,"""10<yellow>★<c> Striking Weapon Nv.11"""
Name_00089#0,"""10<yellow>★<c> Striking Weapon Nv.12"""
Name_00090#0,"""10<yellow>★<c> Striking Weapon Nv.13"""
Name_00091#0,"""10<yellow>★<c> Striking Weapon Nv.14"""
Name_00092#0,"""11 <yellow>★<c> Striking Weapon Nv.9"""
Name_00093#0,"""11 <yellow>★<c> Striking Weapon Nv.10"""
Name_00094#0,"""11 <yellow>★<c> Striking Weapon Nv.11"""
Name_00095#0,"""11 <yellow>★<c> Striking Weapon Nv.12"""
Name_00096#0,"""12 <yellow>★<c> Striking Weapon Nv.7"""
Name_00097#0,"""12 <yellow>★<c> Striking Weapon Nv.8"""
Name_00098#0,"""12 <yellow>★<c> Striking Weapon Nv.9"""
Name_00099#0,"""12 <yellow>★<c> Striking Weapon Nv.10"""
Name_00100#0,"""Beginner Striking Weapon (T-ATK) Nv.9"""
Name_00101#0,"""Beginner Striking Weapon (T-ATK) Nv.11"""
Name_00102#0,"""Beginner Striking Weapon (T-ATK) Nv.13"""
Name_00103#0,"""Beginner Striking Weapon (T-ATK) Nv.16"""
Name_00104#0,"""Beginner Striking Weapon (T-ATK) Nv.18"""
Name_00105#0,"""Beginner Striking Weapon (T-ATK) Nv.20"""
Name_00106#0,"""Beginner Striking Weapon (T-ATK) Nv.22"""
Name_00107#0,"""Beginner Striking Weapon (T-ATK) Nv.24"""
Name_00108#0,"""Intermediate Striking Weapon (T-ATK) Nv.6"""
Name_00109#0,"""Intermediate Striking Weapon (T-ATK) Nv.8"""
Name_00110#0,"""Intermediate Striking Weapon (T-ATK) Nv.10"""
Name_00111#0,"""Intermediate Striking Weapon (T-ATK) Nv.12"""
Name_00112#0,"""Intermediate Striking Weapon (T-ATK) Nv.14"""
Name_00113#0,"""Intermediate Striking Weapon (T-ATK) Nv.16"""
Name_00114#0,"""Intermediate Striking Weapon (T-ATK) Nv.18"""
Name_00115#0,"""Intermediate Striking Weapon (T-ATK) Nv.20"""
Name_00116#0,"""Expert Striking Weapon (T-ATK) Nv.4"""
Name_00117#0,"""Expert Striking Weapon (T-ATK) Nv.5"""
Name_00118#0,"""Expert Striking Weapon (T-ATK) Nv.6"""
Name_00119#0,"""Expert Striking Weapon (T-ATK) Nv.8"""
Name_00120#0,"""Expert Striking Weapon (T-ATK) Nv.10"""
Name_00121#0,"""Expert Striking Weapon (T-ATK) Nv.12"""
Name_00122#0,"""Advanced Striking Weapon (T-ATK) Nv.14"""
Name_00123#0,"""Advanced Striking Weapon (T-ATK) Nv.16"""
Name_00124#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.3"""
Name_00125#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.4"""
Name_00126#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.5"""
Name_00127#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.7"""
Name_00128#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.8"""
Name_00129#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.10"""
Name_00130#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.12"""
Name_00131#0,"""10<yellow>★<c> Striking Weapon (T-ATK) Nv.14"""
Name_00132#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.2"""
Name_00133#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.3"""
Name_00134#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.4"""
Name_00135#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.6"""
Name_00136#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.7"""
Name_00137#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.8"""
Name_00138#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.10"""
Name_00139#0,"""11 <yellow>★<c> Striking Weapon (T-ATK) Nv.12"""
Name_00140#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.1"""
Name_00141#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.2"""
Name_00142#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.3"""
Name_00143#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.4"""
Name_00144#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.5"""
Name_00145#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.6"""
Name_00146#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.8"""
Name_00147#0,"""12 <yellow>★<c> Striking Weapon (T-ATK) Nv.10"""
Name_00148#0,"""Beginner Striking Weapon (DEX) Nv.9"""
Name_00149#0,"""Beginner Striking Weapon (DEX) Nv.11"""
Name_00150#0,"""Beginner Striking Weapon (DEX) Nv.13"""
Name_00151#0,"""Beginner Striking Weapon (DEX) Nv.16"""
Name_00152#0,"""Beginner Striking Weapon (DEX) Nv.18"""
Name_00153#0,"""Beginner Striking Weapon (DEX) Nv.20"""
Name_00154#0,"""Beginner Striking Weapon (DEX) Nv.22"""
Name_00155#0,"""Beginner Striking Weapon (DEX) Nv.24"""
Name_00156#0,"""Intermediate Striking Weapon (DEX) Nv.6"""
Name_00157#0,"""Intermediate Striking Weapon (DEX) Nv.8"""
Name_00158#0,"""Intermediate Striking Weapon (DEX) Nv.10"""
Name_00159#0,"""Intermediate Striking Weapon (DEX) Nv.12"""
Name_00160#0,"""Intermediate Striking Weapon (DEX) Nv.14"""
Name_00161#0,"""Intermediate Striking Weapon (DEX) Nv.16"""
Name_00162#0,"""Intermediate Striking Weapon (DEX) Nv.18"""
Name_00163#0,"""Intermediate Striking Weapon (DEX) Nv.20"""
Name_00164#0,"""Advanced Striking Weapon (DEX) Nv.4"""
Name_00165#0,"""Advanced Striking Weapon (DEX) Nv.5"""
Name_00166#0,"""Advanced Striking Weapon (DEX) Nv.6"""
Name_00167#0,"""Advanced Striking Weapon (DEX) Nv.8"""
Name_00168#0,"""Advanced Striking Weapon (DEX) Nv.10"""
Name_00169#0,"""Advanced Striking Weapon (DEX) Nv.12"""
Name_00170#0,"""Advanced Striking Weapon (DEX) Nv.14"""
Name_00171#0,"""Advanced Striking Weapon (DEX) Nv.16"""
Name_00172#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.3"""
Name_00173#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.4"""
Name_00174#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.5"""
Name_00175#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.7"""
Name_00176#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.8"""
Name_00177#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.10"""
Name_00178#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.12"""
Name_00179#0,"""10<yellow>★<c> Striking Weapon (DEX) Nv.14"""
Name_00180#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.2"""
Name_00181#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.3"""
Name_00182#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.4"""
Name_00183#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.6"""
Name_00184#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.7"""
Name_00185#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.8"""
Name_00186#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.10"""
Name_00187#0,"""11 <yellow>★<c> Striking Weapon (DEX) Nv.12"""
Name_00188#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.1"""
Name_00189#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.2"""
Name_00190#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.3"""
Name_00191#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.4"""
Name_00192#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.5"""
Name_00193#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.6"""
Name_00194#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.8"""
Name_00195#0,"""12 <yellow>★<c> Striking Weapon (DEX) Nv.10"""
Name_10000#0,"""Beginner/Ranged Weapon/Nv.1"""
Name_10001#0,"""Beginner/Ranged Weapon/Nv.2"""
Name_10002#0,"""Beginner/Ranged Weapon/Nv.3"""
Name_10003#0,"""Beginner/Ranged Weapon/Nv.4"""
Name_10004#0,"""Beginner/Ranged Weapon/Nv.5"""
Name_10005#0,"""Beginner/Ranged Weapon/Nv.6"""
Name_10006#0,"""Beginner/Ranged Weapon/Nv.7"""
Name_10007#0,"""Beginner/Ranged Weapon/Nv.8"""
Name_10008#0,"""Beginner/Ranged Weapon/Nv.9"""
Name_10009#0,"""Beginner/Ranged Weapon/Nv.10"""
Name_10010#0,"""Beginner/Ranged Weapon/Nv.11"""
Name_10011#0,"""Beginner/Ranged Weapon/Nv.12"""
Name_10012#0,"""Beginner/Ranged Weapon/Nv.13"""
Name_10013#0,"""Beginner/Ranged Weapon/Nv.14"""
Name_10014#0,"""Beginner/Ranged Weapon/Nv.15"""
Name_10015#0,"""Beginner/Ranged Weapon/Nv.16"""
Name_10016#0,"""Beginner Ranged Weapon Nv.17"""
Name_10017#0,"""Beginner Ranged Weapon Nv.18"""
Name_10018#0,"""Beginner Ranged Weapon Nv.19"""
Name_10019#0,"""Beginner Ranged Weapon Nv.20"""
Name_10020#0,"""Intermediate/Ranged Weapon/Nv.1"""
Name_10021#0,"""Intermediate/Ranged Weapon/Nv.2"""
Name_10022#0,"""Intermediate/Ranged Weapon/Nv.3"""
Name_10023#0,"""Intermediate/Ranged Weapon/Nv.4"""
Name_10024#0,"""Intermediate/Ranged Weapon/Nv.5"""
