st_041900_0001#0,"""A.P.241/3/22/13:00"""
st_041900_0010#0,"""それじゃ、簡単に説明させてもらいますね。"""
st_041900_0020#0,"""<%me>さんが<br>治療されてる間にアークスの組織体系は<br>抜本的に見直されたんです。"""
st_041900_0030#0,"""まず、総司令……アークスの<br>一番偉い人が、ウルクさんです。<br>司令補佐にテオドールさん。"""
st_041900_0040#0,"""六芒のみなさんは肩書きを残しつつ<br>各部の司令になりました。"""
st_041900_0050#0,"""戦闘部の司令がヒューイさん。<br>次席に三代目のクラリスクレイスさん。"""
st_041900_0060#0,"""総務部の司令がマリアさん。<br>次席にサラさん。"""
st_041900_0070#0,"""教導部の司令がレギアスさん。<br>次席にゼノさん。"""
st_041900_0080#0,"""そしてそして、たびたび問題となる<br>情報部の司令がカスラさん、ですね。"""
st_041900_0090#0,"""アークス全体の方針決定については<br>各部の長と総司令が会議を行って<br>決めているんです。"""
st_041900_0100#0,"""シャオは、私たちシップ管理者を<br>作り出した後、演算に集中するために<br>マザーシップに戻りました。"""
st_041900_0110#0,"""そう、私たちはシャオの代わりに<br>シップを管理する存在なんです。"""
st_041900_0120#0,"""えへへ、実はすっごいんですよー、私。<br>生まれてからまだ二年ぐらいですけど<br>心も体も最初から大人です、えっへん。"""
st_041900_0130#0,"""ちなみにちなみに人格形成には<br>総司令であるウルクさんを参考にしたと<br>シャオは言っていました。"""
st_041900_0140#0,"""あとあと、アークス内にはもう一つ<br>特別な肩書きがあります。<br>それは、「守護輝士」です。"""
st_041900_0150#0,"""特定の部署に所属することなく<br>自分の意志で行動を決めていい<br>アークスで唯一の存在。"""
st_041900_0160#0,"""それが「守護輝士」<br>貴方と、マトイさんなんです。"""
st_041900_0170#0,"""そしてそして、私はその守護輝士<br><%me>さん専属の<br>オペレーターでもあるんですよ。"""
st_041900_0180#0,"""以上、説明おしまいです。<br>今後ともよろしくお願いしますね。"""
