HELLO_FAV4#0,"""Te estaba esperando."""
HELLO_FAV3#0,"""Aplausos por tu buen trabajo"""
HELLO_FAV2#0,"""Hola."""
HELLO_FAV1#0,"""Por favor, digame su negocio."""
HELLO_FAV0#0,"""En que puedo  ser util?"""
GOODBYE_FAV4#0,"""Cuidate."""
GOODBYE_FAV3#0,"""Pues bien, hasta luego."""
GOODBYE_FAV2#0,"""Adios."""
GOODBYE_FAV1#0,"""Bien entonces."""
GOODBYE_FAV0#0,"""Oh..."""
GOTOEXP_FAV4#0,"""お任せ下さい、マスター"""
GOTOEXP_FAV3#0,"""では、行って参ります"""
GOTOEXP_FAV2#0,"""はい、了解です"""
GOTOEXP_FAV1#0,"""わかりました"""
GOTOEXP_FAV0#0,"""出撃します"""
HELLO_REPORT_FAV4#0,"""マスター、お時間よろしければ<br>報告を聞いていただけませんか？"""
HELLO_REPORT_FAV3#0,"""報告をしても<br>よろしいでしょうか？"""
HELLO_REPORT_FAV2#0,"""戻りました。<br>報告があります"""
HELLO_REPORT_FAV1#0,"""報告案件があります"""
HELLO_REPORT_FAV0#0,"""帰還しました"""
HELLO_OTHER#0,"""¡Bienvenido!"""
GOODBYE_OTHER#0,"""Adios."""
HELLO_FAV4#1,"""¡Te estaba esperando!\"""""
HELLO_FAV3#1,"""調子はどうだい？"""
HELLO_FAV2#1,"""Hola."""
HELLO_FAV1#1,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#1,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#1,"""名残惜しいね"""
GOODBYE_FAV3#1,"""元気でね"""
GOODBYE_FAV2#1,"""Nos vemos mas tarde."""
GOODBYE_FAV1#1,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#1,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#1,"""君のために頑張るよ"""
GOTOEXP_FAV3#1,"""まあ、任せておいてよ"""
GOTOEXP_FAV2#1,"""じゃ、頑張ってくるよ"""
GOTOEXP_FAV1#1,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#1,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#1,"""待ってたよ。<br>報告、聞いて欲しいんだ"""
HELLO_REPORT_FAV3#1,"""調子はどうだい？<br>こっちは一段落さ"""
HELLO_REPORT_FAV2#1,"""報告があるんだけど"""
HELLO_REPORT_FAV1#1,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#1,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#1,"""Bienvenido"""
