IncidentName#0,"""Save the Shironians!"""
TrialBeginMsg#0,"""Derrotar a $(0)!"""
TrialAbstract#0,"""Defeat $(1) $(0)!"""
NpcComOnBegin#0,"""Enemies have invaded the streets of Shironia.<br>The Shironian defense forces have engaged them.<br>Everyone, Porfavor assist the Shironians."""
NpcComOnSuccess#0,"""Enemy readings have disappeared.<br>Good work."""
NpcComOnFailureDead#0,"""All the Shironian warriors have withdrawn. It looks like they're taking refuge for now. This mission is a failure, Porfavor regresa a la mision principal."""
NpcComOnFailureTimer#0,"""This is some serious damage... Having achieved their objective, the enemies are starting to withdraw. Unfortunately, this mission has failed."""
NpcComOnBegin#1,"""The Shironian city is under attack. Work with the Shironian warriors and repel the invaders."""
NpcComOnSuccess#1,"""Hostile readings have completely vanished. Nice work."""
NpcComOnFailureDead#1,"""Did all the Shironians withdraw...? Whatever, guess we write this off as a failure. Back to your regular mission, people."""
NpcComOnFailureTimer#1,"""Looks like the hostiles are packing up, now they've achieved what they came here to do. Sorry to say, but this is a failure."""
NpcComOnBegin#2,"""Waaaah, the Shironian city is being attacked! Please, join forces with the Shironian fighters and drive the enemies back!"""
NpcComOnSuccess#2,"""The enemies have been driven off! Bravo, bravo! That was some amazing teamwork! Thank you all for your hard work!"""
NpcComOnFailureDead#2,"""The Shironian warriors have all retreated... Mission failed. Porfavor regresa a la mision principal."""
NpcComOnFailureTimer#2,"""Oh... the enemies have started to retreat. It seems they've achieved their goal. Mission failed..."""
NpcComOnBegin#3,"""Hostiles are present and attacking the Shironian city. Shironian warriors have launched a sortie. All operatives are to work with them and intercept the hostiles."""
NpcComOnSuccess#3,"""Hostile presence readings have completely disappeared. An admirable response to the situation."""
NpcComOnFailureDead#3,"""The Shironian warriors have all withdrawn. It appears they are retreating and abandoning this part of the city. This mission is a failure."""
NpcComOnFailureTimer#3,"""With their goals met, the hostile forces have begun a retreat. The damage to the Shironian city is enormous... Consider this mission a failure."""
