GREET_RANGE#0,"""Hallo!"""
GREET_SHOP_OPEN#0,"""Willkommen!"""
GREET_SHOP_DISABLE#0,"""Bitte verzeih!<br>Heute gib es nichts mehr!"""
GREET_SHOP_CLOSE#0,"""Danke dir!"""
HINT_EAST#0,"""お姉ちゃんは東に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
HINT_WEST#0,"""お姉ちゃんは西に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
HINT_SOUTH#0,"""お姉ちゃんは南に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
HINT_NORTH#0,"""お姉ちゃんは北に<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
00_01#0,"""Option 1"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""Ansprechen"""
C_ORDER_ST#0,"""Details anhören"""
