11_voice_NPC_5050_100#0,"""That's what the ARKS Code says on the matter. In layman's terms, here's what it's really saying."""
text02#0,"""Anyone who can't even handle Phongalphs has no business getting a Mag."""
text03#0,"""Mags are incredibly useful for ARKS operatives, and while everyone love to have one, they can be dangerous in the wrong hands."""
text04#0,"""That's why you need a license, and  can't have a Mag without one.."""
text05#0,"""Though some may say there really is no need for a Mag, I definitely recommend that you get this license."""
text00#0,"""Mags"""
text01#0,"""This tutorial is an explanation on 'Mags.'  Mags are mechanical lifeforms that support your character. Mags are like a partner that grows with your character.  They can provide support in a variety of areas, such as parameter revisions, combat support, photon blasts, production, etc."""
text02#1,"""Mags can mature into a variety of types, and they can raise the status of a character by converting the character abilities to the stats of the equipped Mag."""
text03#1,"""Mags grow by eating items. Their abilities that increase will change depending on the items they're given. When they reach a certain level, they will evolve into new forms.  *Items can only be given to Mags when they are low on energy."""
text04#1,"""Among the newly evolved Mags, there are a variety of types and effects, such as those that will automatically attack a hostile, or heal a player."""
text05#1,"""Use the Mag device to customize the abilities and appearance of your Mags.  Get a Mag license to raise a Mag that can be your adventuring partner!"""
