11_voice_NPC_5021_100#0,"""Excellent. I see you're one of the good ones. My fears were completely unfounded, then."""
text02#0,"""Partner cards allow you to invite the person on the card to join you on your quest, even after it starts."""
text03#0,"""Heh. This reminds me of the old days, when I'd partner up with just about anyone..."""
tutorial00#0,"""Client Orders"""
tutorial01#0,"""Marlu has issued a client order.  Marlu is in the gate area central hall."""
tutorial02#0,"""Ohza has issued a client order.  Ohza is in the gate area central hall."""
tutorial03#0,"""Lisa has issued a client order.  Lisa is in the gate area central hall."""
tutorial04#0,"""Azanami has issued a client order.  Azanami is in the gate area central hall."""
tutorial05#0,"""サガにクライアントオーダーが発生しました。<br><br>サガはゲートエリア・中央テレポーター横にいます。"""
tutorial06#0,"""カトリにクライアントオーダーが発生しました。<br><br>カトリはゲートエリア・中央テレポーター横にいます。"""
tutorial07#0,"""ピエトロにクライアントオーダーが発生しました。<br><br>ピエトロはゲートエリア・アークスカウンターにいます。"""
