text01#0,"""Weapon proficiency takes daily practice.<br>The more training you do, the more you'll improve."""
text02#0,"""You may find it hard and exhausting at first, but<br>the more boot camps you complete, the more<br>you'll start to enjoy the process."""
11_voice_NPC_5057_100#0,"""I've sent out countless<br>students like that.<br>So just put your mind at ease and follow me."""
text100#0,"""Knuckles"""
text101#0,"""This is an explanation of the knuckles gear system.<br><br>By learning the \""knuckles\"" skill, a gear gauge<br>will be added to the top of the Weapon Palette.<br><br>Attack with knuckles to charge the gear gauge."""
text102#0,"""As the gear gauge rises, your attack speed increases, giving you<br>an advantage in combat.<br><br>The gear gauge starts dropping whenever you stop attacking."""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ナックルギア』について"""
text101#1,"""ナックルのギアシステムについて、説明します。<br><br>スキル「ナックルギア」を習得している場合には、<br>武器パレットの上部にギアゲージが追加されます。<br><br>ナックルは攻撃することでギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージが高まると攻撃速度が上昇し<br>戦闘を有利に進めることができます。<br><br>ギアゲージは攻撃を止めると減少します。"""
