name01#0,"""Echo"""
name01#1,"""エコー"""
text01#0,"""Wait, are we done? We are?<br>Wow, I can't believe we pulled that one off."""
text02#0,"""Phew... To be honest, I was shaking in my<br>boots. What a relief."""
text03#0,"""I guess it can't be helped. I mean, I've always<br>been with Zeno, and he always does the<br>heavy lifting, so..."""
text04#0,"""But watching you, it really makes me feel<br>like I can't keep on depending on Zeno for<br>everything like this."""
11_voice_NPC_5002_102#0,"""Ugh. Sorry, I'm rambling. Come on, <br>let's go."""
text01#1,"""こ、これで任務は完了、かな？<br>なんとかなったんだよね？"""
text02#1,"""……ふぅ、よかったぁ。<br>正直な話、緊張で震えてる。<br>ようやくほっとした感じよ。"""
text03#1,"""……しょうがないでしょ。<br>あたし、いつもゼノと一緒で<br>ゼノがなんとかしてくれてたから……"""
text04#1,"""甘えすぎるのも良くないって<br>最近になって……ううん、きみを<br>見てて、思いはじめて、さ。"""
11_voice_NPC_5002_102#1,"""って、そうじゃない！<br>なんでそんなこと話してる、あたし！<br>いいから帰るわよ、ほら！"""
