01_MainLobby_001#0,"""Cuando eres premium, puedes aceptar hasta 40 Ordenes de clientes a la vez."""
01_MainLobby_002#0,"""Hay un mayor chance de exito al agregar habilidades cuando los objetos con la misma habilidad son sacrificados."""
01_MainLobby_003#0,"""Usando la ventana [Quest Info], puedes ver los drops en la actual<br>mision, junto a los enemigos que aparecen en ella."""
01_MainLobby_004#0,"""Cuando equipas un MAG, la fuerza y los status de este seran agregados a los tuyos."""
01_MainLobby_005#0,"""Cuando le des un objeto al MAG, este puede subir de nivel (hasta maximo 200), se recomienda preguntar que darle de comer antes de hacerlo."""
01_MainLobby_006#0,"""Puedes alimentar tu MAG cuando este tiene 66% de energia o menos."""
01_MainLobby_007#0,"""Cuando tu MAG alcance el nivel 30 este cambiara de forma segun como lo hayas alimentado. Igualmente en el nivel 100!."""
01_MainLobby_008#0,"""Cuando recibes un titulo con la [Asesora de titulos], puedes reclamar recompensas."""
01_MainLobby_009#0,"""En el Asesor de Clases, puedes cambiar de clase y aprender nuevas Habilidades."""
01_MainLobby_010#0,"""Cuando aprendes una Habilidad de Funcion<br>de Arma, hay diferentes efectos beneficiosos por cada arma."""
01_MainLobby_011#0,"""Si tratas de unirte a un Grupo (Party) pero este esta lleno, puedes ver si hay otro grupo en la misma area - De este modo podras continuar jugando con ellos."""
01_MainLobby_012#0,"""Cuando seleccionas[Participar como otro Grupo] en el Mostrador de Misiones, ambos grupos pueden jugar juntos en las areas multi-grupo."""
01_MainLobby_013#0,"""Algunas ordenes de clientes pueden ser repetidas mas de una vez."""
01_MainLobby_014#0,"""Completando ciertas ordenes de cliente pueden darte acceso a mas areas y habilidades."""
01_MainLobby_015#0,"""Puedes enviar a alguien un agradecimiento (Good Job) desde la opcion [Personajes cercanos] en el menu"""
01_MainLobby_016#0,"""Puedes ganar FUN para la Loteria FUN solo por recibir un agradecimiento (Good Job)."""
01_MainLobby_017#0,"""En [Historial de Comunicacion], puedes ver los recientes agradecimientos y sus comentarios."""
01_MainLobby_018#0,"""En [Historial de Comunicacion], puedes ver los jugadores con los que recientemente jugaste."""
01_MainLobby_019#0,"""En [Informacion del Personaje], se puede ver su estado y efectos actuales, junto con su tiempo de duracion."""
01_MainLobby_020#0,"""Todos los dias logueate consecutivamente para ganar mas y mas puntos FUN."""
01_MainLobby_021#0,"""Usando [Personajes Cercanos], puedes invitar gente a tu grupo, o puedes pedirles ser su amigo."""
01_MainLobby_022#0,"""Seleccionando [Mis Datos] y luego [Editar Tarjeta Arks], puedes editar tu informacion."""
01_MainLobby_023#0,"""Seleccionando [Imitar], puedes realizar la accion de lobby del jugador mas cercano a ti."""
01_MainLobby_024#0,"""Entre mas alta sea la rareza de un objeto, subira la dificultad para un grindearlo."""
01_MainLobby_025#0,"""Puedes usar Net Cafe Premium solo logueandote desde un Cafe de internet certificado."""
