IncidentName#0,"""Shell Flower Mop-Up"""
TrialBeginMsg#0,"""Erradicar las Shell Flowers!"""
TrialAbstract#0,"""Erradicar las Shell Flowers!"""
ToastOnHalfFinish#0,"""A mitad de camino!"""
ToastOnLast#0,"""¡Solo queda uno!"""
NpcComOnBegin#0,"""Estas flores estan creciendo como<br>mala hierba. Hay tantos que nos<br>van a molestar en nuestro camino.<br>Deshaste de ellos lo mas pronto posible!"""
NpcComOnBeginNext#0,"""Hay demasiados para<br>marcarlos a todos en el mapa.<br>acabar con ellos a medida que los encuentre."""
NpcComOnSuccess#0,"""Hemos confirmado el exito<br>con la eliminacion de flores.<br>Bien hecho."""
NpcComOnFailure#0,"""Hay demasiados para que puedas continua...?<br>Retirese por ahora."""
NpcComOnAccess#0,"""Tienes el don para esto.<br>Sigue eliminando esas flores."""
NpcComOnHit#0,"""Excelente, limpiar la zona de esas flores."""
NpcComOnPreSuccess#0,"""Bien hecho, has eliminado un monton. Vamos a seguir con las flores restantes."""
NpcComOnPreFinish#0,"""El tiempo esta por terminar. Deshazte de las flores lo mas pronto posible."""
