SubMenuTitle#0,"""ストーリーボードメニュー"""
AnimeTest#0,"""アニメテスト"""
CtrlTest#0,"""表示制御テスト"""
Title#0,"""ストーリーボード"""
HintClose#0,"""捜索不可能なマター"""
HintOpen#0,"""捜索可能なマター"""
HintAchieved#0,"""捜索済みのマター"""
HintAccepted#0,"""捜索中のマター"""
HintGuide#0,"""ガイド中のマター"""
HintKeyOpen#0,"""捜索可能なキーマター"""
HintKeyAchieved#0,"""捜索済みのキーマター"""
HintKeyAccepted#0,"""捜索中のキーマター"""
HintKeyGuide#0,"""ガイド中のキーマター"""
PercentComplete#0,"""Abschlussrate"""
Title#1,"""マター情報"""
SynopsisTitle#0,"""このイベントのあらすじ"""
OrderName#0,"""$(0)－$(1) $(2)"""
Info#0,"""Information"""
Target#0,"""この先のルートの解放条件"""
Reward#0,"""クリア報酬"""
Crushing#0,"""「$(0)」の撃破"""
Kills#0,"""$(0)"""
Achievement#0,"""「$(0)」の達成"""
Conversation#0,"""「$name)」との会話"""
ClientOrder#0,"""クライアントオーダー"""
Requester#0,"""依頼者：$(0)"""
Location#0,"""場所：$(0)・$(1)"""
Broadcasting#0,"""アニメ版PSO2の放送"""
BroadcastDate#0,"""放送日時：$(0)"""
Broadcaster#0,"""放送局：$(0)"""
StoryQuestClear#0,"""ストーリークエストのクリア"""
StoryQuestName#0,"""クエスト名：$(0)"""
EventBrowse#0,"""イベントの閲覧"""
EventName#0,"""イベント名：$(0)"""
Close_Vita#0,"""捜索不可"""
Open_Vita#0,"""捜索可能"""
Accepted_Vita#0,"""捜索中"""
Achieved#0,"""捜索済み"""
DetailsTitle1#0,"""クリア報酬"""
DetailsTitle2#0,"""Eventinformation"""
SearchGauge#0,"""進行状況"""
SearchGaugeRate#0,"""$(0)/$(1)"""
StoryQuestRankTitle#0,"""ランク選択"""
StoryQuestRankNormal#0,"""イージー"""
StoryQuestRankHard#0,"""ノーマル"""
AcceptTitle#0,"""捜索開始確認"""
Accept1#0,"""このマターの捜索を開始しますか？"""
Accept2#0,"""捜索中のマターを変更し、<br>このマターの捜索を開始しますか？"""
Accept3#0,"""クエストカウンターで<br>このマターのガイドを表示しますか？"""
Accept4#0,"""このマターの対象キャラクターに<br>ガイドを表示しますか？"""
Target#1,"""Ziel:"""
Area#0,"""Hauptbereich:"""
Guide#0,"""（このマターをガイドの対象にした場合、<br>\u3000このマターボードが捜索対象となります）"""
AutoGuide#0,"""おすすめのマター「$(0)－$(1) $(2)」にガイドを設定しました。"""
AcceptPopup1#0,"""ストーリークエスト受注"""
AcceptPopup2#0,"""クエストレコードを見る"""
MessageTitle#0,"""Nachricht"""
WindowTitle#0,"""クエスト受注確認"""
EventTitle#0,"""イベント再生"""
QuestMessage#0,"""ストーリークエストを受注して<br>キャンプシップへ移動します。<br>よろしいですか？"""
QuestSettledMessage#0,"""ストーリークエストを受注して<br>キャンプシップへ移動します。<br>よろしいですか？<br><br>\u3000<c ffa800>※このクエストはクリア済みです<c>"""
QuestNotice#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>───────────────────────<br>失敗条件/戦闘不能後、リタイアを選択"""
QuestSettledNotice#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br><br>\u3000<c ffa800>※このクエストはクリア済みです<c><br>───────────────────────<br>失敗条件/戦闘不能後、リタイアを選択"""
QuestNoticeHard#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>\u3000<yellow>※ノーマルをクリアすると<br>\u3000\u3000\u3000イージーにもクリアマークが付与されます<c><br>───────────────────────<br>失敗条件/戦闘不能後、リタイアを選択"""
QuestSettledNoticeHard#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>\u3000<yellow>※ノーマルをクリアすると<br>\u3000\u3000\u3000イージーにもクリアマークが付与されます<c><br><br>\u3000<c ffa800>※このクエストはクリア済みです<c><br>───────────────────────<br>失敗条件/戦闘不能後、リタイアを選択"""
QuestNoticeHard_F#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>\u3000<yellow>※このクエストにイージーはありません<c><br>───────────────────────<br>失敗条件/戦闘不能、制限時間の経過"""
QuestSettledNoticeHard_F#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>\u3000<yellow>※このクエストにイージーはありません<c><br><br>\u3000<c ffa800>※このクエストはクリア済みです<c><br>───────────────────────<br>失敗条件/戦闘不能、制限時間の経過"""
BridgeMessage#0,"""ストーリークエストは艦橋でのみ受けられます。<br>\u3000<yellow>※艦橋へはゲートエリア2F、または<br>\u3000\u3000クイックメニューの「艦橋へ行く」から移動できます。<c>"""
PartyMessage#0,"""ストーリークエストはパーティーを組んだ状態では<br>受注できません。"""
EventMessage#0,"""選択したイベントを再生します。<br>よろしいですか？"""
EventSettledMessage#0,"""Das Event wird erneut wiedergegeben.<br>Bist du sicher?<br><br>?<c ffa800>?Das Event wurde bereits einmal betrachtet<c>"""
EventNotice#0,"""Du kannst dir Events lediglich auf der Brücke erneut ansehen.<br>?<yellow>?Um zur Brücke zu kommen kannst du entweder denn Schnellzugriff<br>??oder den Teleporter im Bereich 2F der Hauptlobby benutzen.<c>"""
MatterLock#0,"""このピースは、まだ解放されていません。"""
NonSynopsis#0,"""このピースにあらすじはありません。"""
GetReward#0,"""<c ffa800>達成報酬は受け取り済みです。<c>"""
CompleteTitle#0,"""Bestätigung"""
Complete1#0,"""このマターボードは、全てのマターが探索済みの<br>状態です。<br>このマターボードをセットすることで、ロビーにいる<br>キャラクターや会話の内容などが変化します。<br><br>マターボードのセットを変更しますか？"""
Complete2#0,"""マターボードをセットしました。"""
MethodMessage#0,"""特定のクエストをクリアすることで<br>この先に進むことができます。<br><br>「この先のルートの解放条件」ウィンドウ内の<br> <yellow>[クエスト名]<c> に書かれたクエストをクリアすることで<br>次のピースが解放されます。<br><br>※そのクエストがまだ出現していない場合は、<br>\u3000他にまだクリアしていないクエストを<br>\u3000進めてみてください。"""
MethodOrderMessage#0,"""特定のクライアントオーダーを達成することで<br>この先に進むことができます。<br><br>右上の <yellow>[クライアントオーダー名]<c> に書かれた<br>オーダーを受注して、達成しましょう。<br><br>※そのオーダーがまだ出現していない場合は、<br>\u3000他にまだ達成していないオーダーを<br>\u3000進めてみてください。"""
ClearMessage#0,"""まとめて複数のルートが解放されました。"""
