linewindow#0,"""The Weapon Palette"""
text00#0,"""The Weapon Palette"""
text01#0,"""Let's learn about the Weapon Palette"""
text02#0,"""You can add a combination of weapons and photon arts/techniques<br>to the weapon palette to switch equipment easily.<br><br>Move palette up: <%PaletteReverse><br>Move palette down: <%PaletteForce>"""
text03#0,"""Use <%Decide> to equip a weapon<br>and finish switching the weapon palette."""
text04#0,"""You can add multiple weapons to the weapon palette.<br>You can also add up to three photon arts/techniques."""
11_voice_NPC_5003_104#0,"""Hey, you wanna join me on this? <br>It would really help me out if you came along."""
text102#0,"""I may be an ARKS member now, but I'm still<br>on the bottom rung of the ladder."""
text103#0,"""It's not like I'm itching to fight, but we<br>should really master all the techniques we can,<br>so we'll be ready when it counts."""
text104#0,"""Anyway, it's time to get started.<br>Switching between weapons is about as<br>basic as it gets."""
text105#0,"""I know, they taught us this before.<br>I just hope I can remember how it goes."""
linewindow#1,"""<br>『武器パレット』について<br>"""
text00#1,"""『武器パレット』について"""
text01#1,"""武器パレットについて、説明します。"""
text02#1,"""武器パレットは、武器とフォトンアーツ／テクニックの設定を<br>組み合わせて登録し、簡単に装備を切り替えられます。<br><br>パレット上へ：<%PaletteReverse><br>パレット下へ：<%PaletteForce>"""
text03#1,"""決定：<%Decide>　で装備を選ぶことで<br>武器パレット切り替えが完了です。"""
text04#1,"""武器パレットは武器を複数登録可能です。<br>フォトンアーツ／テクニックも３段まで登録ができます。"""
11_voice_NPC_5003_104#1,"""まあ、復習が必要なのはおれだけで<br>相棒は必要ないだろうけど<br>助けると思って、付き合ってくれよ。"""
text102#1,"""アークスとして認められたとはいえ<br>おれはまだまだペーペーだからさ。"""
text103#1,"""戦いたいってワケじゃないんだけど<br>使える技術はきちんと覚えて<br>使えるようにしておかないとな。"""
text104#1,"""ということで、復習開始っと。<br>基本中の基本、武器の持ち替え方。<br>これも必要不可欠な技術だよな。"""
text105#1,"""修了任務の時に教わったもんな。<br>それじゃ、ちょっとやってみようぜ。"""
