name01#0,"""Karin""" 
skit01#0,"""Wow, you sure did a good job!<br>You've managed to complete all of the Stages!<br>We've also got a heap of wonderful data from it!""" 
skit02#0,"""Ah, by the way. Next time you do <br>an Extreme Quest, it'll start from the <br>first stage again! Just letting you know! """ 
skit03#0,"""But in exchange for starting over, we're <br>giving you a ton of Spellstones! So try<br>your best next time too, okay?""" 
skit04#0,"""In any case! You also get to take items <br>corresponding to the amount of <br>Stage Orders you completed!""" 
skit05#0,"""Pick whichever items you'd like from <br>the Extreme Terminal.<br>Now then. Good work!""" 
skit06#0,"""Also, as a service to you we're also going to <br>give you catalysts to change the Spellstones<br>into other types of Spellstones!""" 
text01#0,"""Karin gave you 4 \""Heart Key Ores\"".""" 
text02#0,"""Karin gave you a \""Heart Key Catalyst\"".""" 
text03#0,"""Karin gave you 15 \""Heart Key Ores\"".""" 
text04#0,"""Karin gave you 25 \""Heart Key Ores\"".""" 
