Title#0,"""プレイ実績"""
Player#0,"""プレイヤー記録"""
Quest#0,"""クエスト記録"""
RareItem#0,"""レアアイテム取得履歴"""
BossEnemy#0,"""ボスエネミー討伐履歴"""
RareEnemy#0,"""レアエネミー討伐履歴"""
Challenge#0,"""チャレンジ記録"""
TitleEnemyTotal#0,"""エネミー討伐総数"""
TitleQuestTotal#0,"""クエストクリア回数"""
TitleRankSS#0,"""評価ランクＳS"""
TitleRankS#0,"""評価ランクＳ"""
TitleRankA#0,"""評価ランクＡ"""
TitleRankB#0,"""評価ランクＢ"""
TitleRankC#0,"""評価ランクＣ"""
TitleMissCount#0,"""戦闘不能回数"""
TitleAttackDamage#0,"""最高与ダメージ"""
TitlePlayTimeTotal#0,"""総プレイ時間"""
Normal#0,"""$(0)"""
EnemyCount#0,"""$(0)体討伐"""
Count#0,"""$(0)回"""
PlayTime#0,"""$(0)時間$(1)分"""
Number#0,"""$(0)個"""
TitleAchieve#0,"""称号取得数"""
TitleQuestName#0,"""クエスト名"""
TitleQuestRank#0,"""クエストランク"""
TitleQuestResult#0,"""評価"""
RankS#0,"""評価ランクＳ"""
RankA#0,"""評価ランクＡ"""
RankB#0,"""評価ランクＢ"""
RankC#0,"""評価ランクＣ"""
TitleItemName#0,"""アイテム名"""
TitleRarity#0,"""レアリティ"""
TitleEnemyName#0,"""エネミー名"""
TitleLevel#0,"""レベル"""
Level#0,"""Lv."""
EnemyLevel#0,"""$(0)"""
TitleEnemyName#1,"""エネミー名"""
TitleLevel#1,"""レベル"""
Level#1,"""Lv."""
EnemyLevel#1,"""$(0)"""
TitleQuestName#1,"""クエスト名"""
TitleAchievement#0,"""達成状況"""
TitleGetPoint#0,"""獲得CP"""
