name01#0,"""Kabrakan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/ci2 2 There, I found it!<br>That is the switch to open the green <br>fence!"""
skit02#0,"""/toge hey, look around you!<br>We're getting trapped in!"""
skit01#1,"""/ci2 2 あっ、あった！<br>あれが緑のフェンスを<br>開けるスイッチね！"""
skit02#1,"""/toge って、ねーちゃん周り見ろ！<br>オレらが思いっきり<br>閉じ込められとるやん！"""
skit01#0,"""There, I found it!<br>That is the switch to open the green <br>fence!"""
skit02#0,"""/toge hey, look around you!<br>We're getting trapped in!"""
skit01#1,"""あっ、あった！<br>あれが緑のフェンスを<br>開けるスイッチね！"""
skit02#1,"""/toge って、ねーちゃん周り見ろ！<br>オレらが思いっきり<br>閉じ込められとるやん！"""
