name01#0,"""Ohza"""
name01#1,"""オーザ"""
text01#0,"""Hey, you're going to practice with the wired lance,<br>are you?"""
text02#0,"""Hunters can get away with pushing the limits a little,<br>so go give it all you got."""
text03#0,"""Wired Lances"""
text04#0,"""Once you've learned the Wired Lance Gear skill, a gear gauge is added<br>to the top of your weapon palette.<br><br>The gear gauge fills up as you land blows with standard wired lance attacks."""
text05#0,"""The gear gauge fills up to three bars, and each ensnaring photon art you use<br>consumes one bar. photon arts unleashed using the gear gauge are more<br>powerful.<br><br>The gear gauge does not drop over time."""
text01#1,"""おっ、ワイヤードランスの練習<br>始めるみたいだな。"""
text02#1,"""ハンターなら、ある程度の無理や無茶も<br>なんとかなる、頑張ってこいよ。"""
text03#1,"""『ワイヤードランス』について"""
text04#1,"""ワイヤードランスのギアシステムについて、説明します。<br><br>スキル「ワイヤードランスギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ワイヤードランスの通常攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text05#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br>ホールド系フォトンアーツを使用するとゲージを１つ分消費します。<br>ギアゲージを消費して放つフォトンアーツは、威力が増大されます。<br><br>時間経過によるギアゲージの減少はありません。"""
