name01#0,"""Koffie."""
11_voice_NPC_5050_104#0,"""<%me>.<br>Good work.<br>I am Officer Koffie."""
text02#0,"""Keeping your actions in mind, we've unlocked the \""Super Hard\"" Quest Rank."""
text03#0,"""There's no need for a Difficulty System <br>unlocking exam. It has been decided that <br>someone with your abilities will have no issue."""
text04#0,"""But regardless, the hostiles that appear will be far stronger than any you've ever faced.<br>Be on your guard."""
text05#0,"""There are many ARKS members. But there's only one like you. So please don't overdo things. ...Now then, if you'll excuse me. """
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""貴方の活動内容を鑑みまして<br>クエストランクの「スーパーハード」が<br>解放されました。"""
text03#1,"""難易度制限解放試練は不要です。<br>貴方の実力ならば問題はないと<br>判断されました。"""
text04#1,"""とはいえ、出現するエネミーの強さは<br>これまでの比ではありません。<br>油断は禁物です。"""
text05#1,"""アークスは数多くいますが<br>貴方は一人です。無理はしないように。<br>……それでは、失礼します。 """
