text100#0,"""Daily Orders"""
text101#0,"""Daily requests change every day.<br><br>Unlike client orders, you can report in before completing<br>the objective, and receive a reward based on how far you got."""
text102#0,"""For example if the objective is to collect items, you can select <br>how many to hand over when you make your report.<br>Your reward is based on how many you hand over.<br><br>Note that once you report in, however, you won't be able<br>to report in again until the next time you take on that request."""
text100#1,"""『デイリーオーダー』について"""
text101#1,"""デイリーオーダーについて説明します。<br><br>デイリーオーダーは受注できるものが毎日変わります。<br><br>他のキャラクターから受注するクライアントオーダーと違って<br>目標の進行途中でも報告可能なオーダーもあります。<br>それらの場合、報告時の達成度に応じた報酬を受け取ることができます。"""
text102#1,"""アイテムの調達が目標の場合、報告時に提出する個数を選べます。<br>提出した個数に合わせて、報酬が増加します。<br><br>ただし、一度報告してしまうと次に受注するまで<br>報告はできなくなるので、ご注意ください。"""
Npc49_01_010#0,"""Different daily requests come up every day."""
Npc49_01_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_01_030#0,"""But first, you'd better go out and get some<br>more experience!"""
Npc49_01_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_01_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_01_030#1,"""でも、もう少し経験を積んでから<br>来てもらえますか！"""
Npc49_02_010#0,"""Different daily requests come up every day."""
Npc49_02_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_02_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_02_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_03_010#0,"""Different daily requests come up every day."""
Npc49_03_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_03_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_03_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_04_010#0,"""Different daily requests come up every day."""
Npc49_04_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_04_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_04_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_05_010#0,"""Different daily requests come up every day."""
Npc49_05_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_05_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_05_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_06_010#0,"""Different daily requests come up every day."""
Npc49_06_020#0,"""Stop by and check them out every day, if you can.<br>I'd really appreciate it!"""
Npc49_06_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
