name01#0,"""Echo"""
name01#1,"""エコー"""
text01#0,"""Whoa, I am completely exhausted now. But at<br>least that's over!"""
text02#0,"""And I have to say, wow, you are really<br>something else!"""
text03#0,"""I don't mean just your sheer power alone.<br>You're also gutsy in battle and a really quick<br>thinker. You've got it all."""
11_voice_NPC_5002_104#0,"""I don't get it. I try and I try, but in every possible<br>area, it feels like you just keep leaving me in<br>the dust. Is something wrong with me?"""
text05#0,"""Ugh, I guess there's no point worrying about it.<br>Let's head home."""
text01#1,"""はぁ、はぁ……<br>ようやく終わったぁ。"""
text02#1,"""……今さらだけどさ。<br>きみはやっぱり強いね。"""
text03#1,"""強いって、力だけじゃなくてさ。<br>戦う上での度胸も<br>とっさの判断も、全部。"""
11_voice_NPC_5002_104#1,"""なんだろう。あたしだって<br>頑張ってるつもりなのに<br>どんどん離されてく気がする。"""
text05#1,"""……ううん、こんなこと言ってても<br>どうにもならないか。<br>さ、帰還しましょう。"""
