linewindow#0,"""Photon Art/Technique Discs"""
text00#0,"""Photon Art/Technique Discs"""
text01#0,"""Photon arts and techniques other than those you start out with<br>become available after you learn them from a disc."""
text02#0,"""Learn a new ability by first selecting the photon art/techniques disc<br>from your inventory, and then selecting \\""Use.\\"""""
text03#0,"""Next, select \\""Equip Weapons\\"" from the main menu, and then select<br>your weapon category of choice.<br><br>Then choose an empty space on your weapon palette."""
text04#0,"""Abilities you have already learned will be displayed in the<br>list of photon arts or techniques that you can add, so choose one."""
11_voice_NPC_5003_104#0,"""Man, was I completely wrong! I thought<br>you could use photon arts just by<br>learning them."""
text102#0,"""But I found out that you have to set them <br>in the weapon palette before you can <br>use them!"""
text103#0,"""That was totally embarrassing. <br>But whatever. Live and learn, right?"""
text104#0,"""How about you? You're not just learning<br>skills without setting them, are you?"""
text105#0,"""Hey, how about we take a look at your<br>weapon palette? All this talk has really<br>got me curious."""
linewindow#1,"""<br>『フォトンアーツ／テクニックディスク』について<br>"""
text00#1,"""『フォトンアーツ／テクニックディスク』について"""
text01#1,"""フォトンアーツ／テクニックディスクの習得について、説明します。<br><br>フォトンアーツ及びテクニックは、初期に登録されているもの以外は<br>「ディスク」を「習得」することで使用できるようになります。"""
text02#1,"""まず、習得したいフォトンアーツ／テクニックディスクを<br>アイテムパックから選択し<br>「使う」を選ぶことで、習得できます。"""
text03#1,"""習得した後、メインメニューから「武器装備」を選び<br>武器の項目を選択します。<br><br>武器パレットの空欄になっている箇所を選びましょう。"""
text04#1,"""すると、登録可能なフォトンアーツ一覧、テクニック一覧に<br>習得済みのものが表示されますので選択しましょう。"""
11_voice_NPC_5003_104#1,"""フォトンアーツってさ、習得しただけで<br>使えるようになると思ってたら<br>大間違いなんだよな。"""
text102#1,"""武器パレットにセッティングして<br>ようやく使えるようになるって<br>ついこの前まで知らなかったんだよ。"""
text103#1,"""いやあ、あの時は赤っ恥かいたぜ……<br>まあ、恥は掻き捨て。間違えた方が<br>覚えるからいいんだけどさ。"""
text104#1,"""相棒、お前は大丈夫か？<br>覚えただけで満足してたりしないよな？"""
text105#1,"""……なんだか話してたら<br>おれも気になってきた。ちょっと<br>武器パレットいじってみようぜ。"""
