Begin#0,"""Begin5008"""
Success#0,"""Success5008"""
Failure#0,"""Failure5008"""
Dead#0,"""Dead5008"""
BuddyDead#0,"""BuddyDead5008"""
Evolution#0,"""Evolution5008"""
Begin#1,"""5002Begin5008"""
Success#1,"""5002Success5008"""
Failure#1,"""5002Failure5008"""
Dead#1,"""5002Dead5008"""
BuddyDead#1,"""5002BuddyDead5008"""
Evolution#1,"""5002Evolution5008"""
Begin#2,"""5003Begin5008"""
Success#2,"""5003Success5008"""
Failure#2,"""5003Failure5008"""
Dead#2,"""5003Dead5008"""
BuddyDead#2,"""5003BuddyDead5008"""
Evolution#2,"""5003Evolution5008"""
