11_voice_NPC_5028_100#0,"""I think ARKS members are great! Like knights in shining armor! I wish that could be me."""
11_voice_NPC_5028_105#0,"""Grr... How can I learn to use photons? There must be a way..."""
11_voice_NPC_5028_104#0,"""You're an ARKS op, and I'm not. It's strange, isn't it? We don't look all that different."""
11_voice_NPC_5028_108#0,"""You know how photons sometimes react to emotions? I wonder what that's like."""
Ulc_04_020#0,"""I think about photons all the time. You'd think they'd have reacted to me by now, at least a little."""
11_voice_NPC_5028_100#1,"""Dreams can come true! That's what I believe. I won't give up on becoming an ARKS op!"""
11_voice_NPC_5028_100#2,"""I wonder if you've met my friend. He's the one always moping around. Look out for him for me, won't you?"""
11_voice_NPC_5028_105#1,"""Hm... There's got to be something. Oh, don't mind me. I was just trying to come up with a way to motivate someone."""
11_voice_NPC_5028_104#1,"""It would be easy enough for me to give up, but then my friend would probably give up, too."""
Ulc_08_020#0,"""He's always making things difficult for me, even though he's already an ARKS op! It can't be helped. I just have to keep trying."""
11_voice_NPC_5028_101#0,"""You think I'm wasting my efforts? Fine by me! At least you recognize that I'm trying."""
11_voice_NPC_5028_101#1,"""Hey! I'm headed to another ARKS ship to transport supplies!"""
Ulc_10_020#0,"""It's my first time out in space. I'm pretty excited!"""
11_voice_NPC_5028_100#3,"""Have you heard about that pop idol who's causing a big fuss down in the residential area?"""
Ulc_11_020#0,"""I guess becoming a symbol like that is one way to raise morale."""
Ulc_11_030#0,"""Not like I have what it takes to do that myself. Not a chance. I'll find some way to make a difference, though."""
