name01#0,"""Kabrakan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/toge Listen to me.<br>I will teach you the correct <br>route."""
skit02#0,"""/ci5 2 Shut up and go.<br>If you're really gonna do it, look ahead <br>and just do it!"""
skit01#1,"""/toge ええかねーちゃん。<br>正しい道順ってのを<br>オレが教えたるからな。"""
skit02#1,"""/ci5 2 うるさいわね。<br>やるからには前向いて<br>きちんと道案内しなさい！"""
skit01#0,"""/toge Listen to me.<br>I will teach you the correct <br>route."""
skit02#0,"""Shut up and go.<br>If you're really gonna do it, look ahead <br>and just do it!"""
skit01#1,"""/toge ええかねーちゃん。<br>正しい道順ってのを<br>オレが教えたるからな。"""
skit02#1,"""うるさいわね。<br>やるからには前向いて<br>きちんと道案内しなさい！"""
