Title#0,"""Judgment Day"""
Explanation#0,"""\""Naberius. Where we promised. I'll be waiting.\""<br>Words spoken by [Persona].<br>That makes your next destination obvious.<br>Ten years ago, a single promise was made<br>on Naberius. A promise with her.<br><br>A promise that only two people should know.<br>All will be revealed at the fated reunion.<br>――――――――――――――――――――<br>Fracaso: Retirarse despues de ser incapacitado"""
SimpleExplanation#0,"""???"""
Area0S#0,"""Forest Area"""
Area0L#0,"""Naberius: Bosque Area"""
Area1S#0,"""Area corrompida: Ruinas"""
Area1L#0,"""Naberius: Ruinas corrompidas"""
Area2S#0,"""Area corrompida: Bosque 1"""
Area2L#0,"""Naberius: Bosque Corrupto 1"""
Area3S#0,"""Area corrompida: Bosque 2"""
Area3L#0,"""Naberius: Bosque Corrupto 2"""
Area4S#0,"""Area corrompida: Bosque 3"""
Area4L#0,"""Naberius: Bosque Corrupto 3"""
Area5S#0,"""Area corrompida: Ruinas"""
Area5L#0,"""Naberius: Ruinas corrompidas"""
