Title#0,"""Spieleinstellungen"""
MenuTreeBasic#0,"""Allgemein"""
MenuTreeDirection#0,"""Richtung"""
MenuTreeDraw#0,"""Grafik"""
MenuTreeSound#0,"""Sound"""
MenuTreeControl#0,"""Eingabe"""
MenuTreeCommunication#0,"""Kommunikation"""
MenuTreeSystem#0,"""System"""
MenuButtonBasic#0,"""Grundlegende Einstell."""
MenuButtonNotice#0,"""Benachrichtigungen"""
MenuButtonCamera#0,"""Kameraverhalten"""
MenuButtonCamera_v#0,"""ゲーム内カメラ設定"""
MenuButtonShoot#0,"""Screenshots"""
MenuButtonChat#0,"""Öffne Macros"""
MenuButtonDirection#0,"""Richtungseinstellungen"""
MenuButtonDrawFunction#0,"""Effekte&Verbesserungen"""
MenuButtonDrawShadow#0,"""Schatteneinstellungen"""
MenuButtonDrawDisplay#0,"""Details&Qualität"""
MenuButtonSound#0,"""Soundeinstellungen"""
MenuButtonOperationType#0,"""おもに使用する操作機器"""
MenuButtonActionType#0,"""Aktionstyp wählen"""
MenuButtonSndVolume#0,"""Lautstärke"""
MenuButtonSndPlay#0,"""Wiedergabeoptionen"""
MenuButtonCtrl#0,"""Steuerungs-Einstellungen"""
MenuButtonCtrlKeybord#0,"""Tastatur: Tastenbeleg."""
MenuButtonCtrlMouse#0,"""Maus: Tastenbelegung"""
MenuButtonCtrlAnnounce#0,"""Darstellungsstil"""
MenuButtonCtrlPadBehavior#0,"""Controller: Grundeinst."""
MenuButtonCtrlPadCtrl#0,"""Controller: Tastenbeleg."""
MenuButtonCommunication#0,"""Kommunikation"""
MenuButtonWindow#0,"""Fenster zurücksetzen"""
MenuButtonEsthetic#0,"""Überarbeitungsoptionen"""
MenuButtonRideroid#0,"""ライドロイド設定"""
MenuButtonSystem#0,"""System"""
MenuButtonReset#0,"""Alle zurücksetzen"""
MenuButtonExit#0,"""Verwerfen und beenden"""
MenuButtonExitWithSave#0,"""Speichern und beenden"""
ConfirmTitleInit#0,"""Einstellungen zurücksetzen"""
ConfirmMessageInit#0,"""Es werden alle Einstellungen auf ihre<br>Standardwerte zurückgesetzt.<br>Bist du sicher?"""
ConfirmTitle#0,"""Verlassen bestätigen"""
ConfirmMessageApply#0,"""Bist du sicher, dass du diese Einstellungen speichern willst?"""
ConfirmMessageDisapply#0,"""Bist du sicher, dass du diese Einstellungen verwerfen willst?"""
ConfirmButtonApply#0,"""Beenden und speichern"""
ConfirmButtonDisapply#0,"""Beenden und verwerfen"""
ConfirmButtonCancel#0,"""Zu Optionen zurückkehren"""
BasicTextRadarMapDirection#0,"""Rotation der Radarkarte"""
BasicTextMoviePlay#0,"""Videowiedergabe im Spiel"""
BasicTextSmutFilter#0,"""Schimpfwortfilter"""
BasicTextLockon#0,"""Anvisieren"""
BasicTextPaletteChange#0,"""Palettenwechsel"""
BasicTextKeyMoveEscape#0,"""Tastaturbenutzung vermeiden"""
BasicTextFeaturedEvents#0,"""Hinweis zum Eventkamera-Fokus"""
BasicTextMesetaAuto#0,"""Automatisches aufheben von Meseta"""
BasicTextCharacterColor#0,"""Darstellung von Namen anderer Gruppen"""
BasicTextAttackProperty#0,"""ダメージ攻撃属性によるHPバーのカラー設定"""
BasicTextAutoPartyName#0,"""自動パーティー名設定"""
BasicTextBeginner#0,"""レベル20以下時のログインブロック設定"""
BasicTextSubActionPalletName#0,"""選択中のサブパレット内容を表示"""
BasicTextRareDrop#0,"""レアアイテムのドロップ演出表示設定"""
BasicTextRareautoget#0,"""レアアイテムの即時取得設定"""
BasicTextWarehouseCursor#0,"""倉庫の初期カーソル位置設定"""
BasicTextPetStatus#0,"""ペットのパラメーター情報表示設定"""
BasicTextEtrialMap#0,"""Ｅトライアル発生時のレーダーマップ切り替え"""
VitaCtrlTextSwapLR#0,"""L/Rボタン機能入れ替え（カスタム時無効）"""
VitaCtrlTextSwapStartSelect#0,"""START/SELECTボタン機能入れ替え(カスタム時無効)"""
VitaCtrlTextNormalCtrlType#0,"""通常視点操作タイプ"""
VitaCtrlTextShoulderCtrlType#0,"""肩越し視点操作タイプ"""
VitaCtrlTextSavePartySetting#0,"""Gruppeneinstellungen speichern"""
VitaCtrlTextLockonChange#0,"""Anvisierung mit rechtem Stick wechseln"""
VitaCtrlTextNavi#0,"""Anzeige des Navigationssymbols"""
BasicHintRadarMapDirection#0,"""Lege fest, ob das Radar sich<br>in deine Blickrichtung drehen soll."""
BasicHintMoviePlay#0,"""Aktiviere oder deaktiviere Videowiedergabe<br>im Spiel (wie bspw. auf den Monitoren der ARKS Lobby).<br>?Benötigt einen Neustart des Spiels"""
BasicHintSmutFilter#0,"""Falls aktiviert werden anstößige Begriffe im Chat gefiltert."""
BasicHintLockon#0,"""Bestimme, wie Anvisieren funktioniert.<br>Lege fest, ob durch einmaliges Drücken oder<br>beim Halten der Taste anvisiert wird."""
BasicHintPaletteChange#0,"""Bestimme, wie die Palette gewechselt wird.<br>Lege fest, ob durch einmaliges Drücken oder<br>beim Halten der Taste Paletten gewechselt werden."""
BasicHintKeyMoveEscape#0,"""Du kannst den Intervall für das Ausweichen festlegen,<br>welches durch die ([W]/[A]/[S]/[D])-Bewegungstasten<br>auf der Tastatur ausgelöst wird."""
BasicHintSavePartySetting#0,"""Bestimme, ob die Gruppeneinstellungen auch nach<br>dem Abmelden und Wechseln der Blöcke beibehalten werden.<br>Die Gruppeneinstellungen werden gespeichert bis du das Spiel verlässt."""
BasicHintLockonChange#0,"""Legt fest, ob das anvisierte Ziel mithilfe<br>des rechten Sticks gewechselt werden kann."""
BasicHintNavi#0,"""Bestimme, ob das ARKS Road Navigationssymbol,<br>welches dein nächstes Ziel markiert, angezeigt werden soll."""
BasicHintEvent#0,"""Bestimme, ob du darauf hingewiesen werden willst,<br>dass du deine Kamera durch Drücken von <%Access><br>auf ein Event richten kannst."""
BasicHintMeseta#0,"""Bestimme, ob du Meseta automatisch aufheben möchtest,<br>wenn es in Reichweite ist."""
BasicHintColor#0,"""Bestimme, ob die Namen von anderen Gruppen<br>als dunkelblau oder weiß dargestellt werden sollen."""
BasicHintAttackProperty#0,"""ダメージを受けた際に表示されるHPバーの色を<br>打撃、射撃、法撃ごとに変化させるか設定します。"""
BasicHintAutoPartyName#0,"""パーティー名を設定しないままクエストを受注した時に<br>自動で付けられるパーティー名を選択します。 """
BasicHintBeginner#0,"""レベル20以下のキャラクターでログインする時、<br>ビギナーブロックが選ばれやすくするかを選択します。"""
BasicHintSubActionPalletName#0,"""選択中のサブパレット内容を表示させるか設定します。"""
BasicHintRareDrop#0,"""レアアイテムがドロップした際に表示される演出を<br>どのレアリティから表示するか設定します。"""
BasicHintautoget#0,"""レアリティ13以上のアイテムがドロップする場合、<br>取得ミスを防ぐため、フィールドにドロップさせず<br>アイテムパックに即時取得するかを設定します。"""
BasicHintWarehouseCursor#0,"""倉庫端末や、マイショップ出品時、<br>NPCショップでのアイテム売買において、<br>倉庫UIが表示された時の初期カーソル位置を設定します。"""
BasicHintPetStatus#0,"""ペットのHPバーと状態を表すアイコンを表示させるか設定します。"""
BasicHintEtrialMap#0,"""レーダーマップを拡大表示している時に<br>Ｅトライアルが発生した際、自動で一時的に<br>レーダーマップを広域表示に切り替えるかを設定します。"""
NoticeTextParty#0,"""Bei Gruppeneinladungen"""
NoticeTextFriend#0,"""Beim Registrieren eines Freundes"""
NoticeTextGuild#0,"""Beim Beitritt zu einem Team"""
NoticeTextTrade#0,"""Bei Handelsanfragen"""
NoticeTextLogItem#0,"""Protokollieren aufgenommener Items"""
NoticeTextPopUpMessage#0,"""通知メッセージ設定"""
NoticeTextRecommended#0,"""おすすめクエストを受注した時"""
NoticeTextPremium#0,"""プレミアム有効期限切れの通知"""
NoticeTextRareItem#0,"""パーティーメンバーがレアアイテムを取得した時"""
NoticeHintParty#0,"""Aktiviere oder deaktiviere das Fenster,<br>wenn eine Gruppeneinladung empfangen wird."""
NoticeHintFriend#0,"""Aktiviere oder deaktiviere das Fenster,<br>wenn eine Freundanfrage empfangen wird."""
NoticeHintGuild#0,"""Aktiviere oder deaktiviere das Fenster,<br>wenn eine Teameinladung empfangen wird."""
NoticeHintTrade#0,"""Aktiviere oder deaktiviere das Fenster,<br>wenn eine Handelsanfrage empfangen wird."""
NoticeHintLogItem#0,"""Bestimme, ob die Benachrichtigung über den<br>Erhalten eine Items protokolliert werden soll."""
NoticeHintPopUpMessage#0,"""通知メッセージの表示数について、<br>単一に限定するか複数表示するか設定します。"""
NoticeHintRecommended#0,"""おすすめクエストを受注したとき、<br>おすすめオーダーのウインドウを表示するかを設定します。"""
NoticeHintRareItem#0,"""パーティーメンバーがレアアイテムを取得した時に<br>通知をするか設定します。"""
NoticeHintPremium#0,"""プレミアムセットの有効期限が7日を切っていたら<br>ログイン時に通知するかを設定します。"""
CameraTextSpeedX#0,"""カメラ左右回転速度"""
CameraTextSpeedY#0,"""カメラ上下回転速度"""
CameraTextRotateX#0,"""カメラ左右回転"""
CameraTextRotateY#0,"""カメラ上下回転"""
CameraTextSpeedX_v#0,"""ゲーム内カメラ左右回転速度"""
CameraTextSpeedY_v#0,"""ゲーム内カメラ上下回転速度"""
CameraTextRotateX_v#0,"""ゲーム内カメラ左右回転"""
CameraTextRotateY_v#0,"""ゲーム内カメラ上下回転"""
CameraTextMouseOperate#0,"""マウスによるカメラ操作"""
CameraHintSpeedX#0,"""カメラの左右回転の速さを設定します。"""
CameraHintSpeedY#0,"""カメラの上下回転の速さを設定します。"""
CameraHintRotateX#0,"""カメラの左右回転方向を設定します。"""
CameraHintRotateY#0,"""カメラの上下回転方向を設定します。"""
CameraHintMouseOperate#0,"""マウスを操作した時にカメラ操作を優先するか、<br>マウスカーソル操作を優先するかを設定します。"""
CommuTextMailQuote#0,"""メール返信時の引用"""
CommuTextShowUI#0,"""スクリーンショット撮影時のインターフェイス表示"""
CommuTextEnableAutoword#0,"""オートワード使用設定"""
CommuTextDirectChat#0,"""ダイレクトチャット"""
CommuTextCustomTab#0,"""ログウィンドウの「すべて表示」に表示するチャンネル"""
CommuTextShowLogAutoword#0,"""オートワードをログに表示"""
CommuTextDisableScrollLock#0,"""Scroll Lockキーによる切り替えを使用しない"""
CommuTextTeamChat#0,"""チームチャット吹き出し設定"""
CommuTextLoginCall#0,"""ログインコール送信設定"""
CommuTextLogWindow#0,"""ログウィンドウ最新表示設定"""
CommuTextSymbolArt#0,"""シンボルアートの発言表示"""
CommuTextCharaName#0,"""Namensanzeige für Teamchat/Flüstern"""
CommuTextChatColor#0,"""チャット入力の背景を発言先のチャンネル色にする"""
CommuTextBattleImpossibleNotification#0,"""他のプレイヤーの戦闘不能通知設定"""
CommuTextMyBattleImpossibleNotification#0,"""自分の戦闘不能通知設定"""
CommuRadioTeamChatAll#0,"""すべて表示する"""
CommuRadioTeamChatArea#0,"""同じエリアの発言だけ表示する"""
CommuRadioTeamChatNone#0,"""表示しない"""
CommuTabCustomCheckPublic#0,"""周囲"""
