st_043100_0001#0,"""A.D.2028/4/7/19:00"""
st_043100_0010#0,"""フンフンフフーン……！<br>さぁ、種は蒔き終えた。<br>最高のステージがステンバイ！"""
st_043100_0020#0,"""あとはメインアクターの入り待ちだぜ？<br>ヒツギガール！<br><%me>チャン！"""
st_043100_0030#0,"""オーウ、シット！<br>無粋なホットラインは<br>カットしておくべきだったＺＥ！"""
st_043100_0040#0,"""イエス？<br>用件は手短に頼むぜ、ユーシー？"""
st_043100_0050#0,"""……ベトール、いい加減にしてもらおう。<br>こちらでもみ消すのにも限度がある。<br>同じ場で繰り返せば、なおさらだ。"""
st_043100_0060#0,"""マザーはこの地を愛している。<br>無闇に傷つけるのは、許されん。<br>無意味な破壊行為を、いつまで続けるつもりだ。"""
st_043100_0070#0,"""ハハハ！\u3000それはヒツギガールたちに<br>確認してもらいたいところだＮＥ。"""
st_043100_0080#0,"""こちらから手の届かないところに<br>逃げられてしまうんだから、手の届くところに<br>出てきてもらうしかないだろ？"""
st_043100_0090#0,"""それにこれは<br>マザーからのお願いでもあるんだＺＥ？<br>止めるリーズンがナッシング！"""
st_043100_0100#0,"""……度が過ぎると言っているのだ。<br>我々の目的は、地球の破壊ではない。"""
st_043100_0110#0,"""アイシーアイシー、アンダースタン。<br>聞き飽きたからもういいだろう？<br>ポチッと、なーッと！"""
st_043100_0120#0,"""全く、何にもわかっちゃいないな。<br>こんなスペクタクルな映像をナマで撮れる機会なんて<br>今ぐらいしかないんだＺＥ？"""
st_043100_0130#0,"""そこには最高のエキサイティングがある！<br>全世界が求める映像が、そこにある！"""
st_043100_0140#0,"""……なァ、そうだろうマザー？<br>だから俺はユーの誘いに乗ったんだぜ？"""
st_043100_0150#0,"""……オーケーェイ、アクターも揃った！"""
st_043100_0160#0,"""クラッパーボードを鳴らそうじゃないか！<br>最高の、フィルムのために！"""
skit01#0,"""Change The World!"""
skit02#0,"""世界変革の声"""
