linewindow#0,"""The subpalette"""
text00#0,"""The subpalette"""
text01#0,"""Let's learn about the subpalette"""
text02#0,"""You can add a combination of items, skills, and techniques<br>to the subpalette so they're always ready to use.<br><br>Move cursor left: <%SubPaletteLeft><br>Move cursor right: <%SubPaletteRight>"""
text03#0,"""Use <%SubPalette> to select the palette to use the item or ability<br>at the current cursor position.<br><br>You can also switch between different subpalettes.<br>Use <%PaletteReverse> or <%PaletteForce> to display the weapon palette,<br>then press <%SubPaletteLeft> or <%SubPaletteRight> <br>to switch the subpalette currently in use."""
text04#0,"""You can switch between and add multiple subpalette books.<br><br>You can also add the same icon multiple times, and move or delete icons."""
text101#0,"""Okay, now I'm all ready to go!<br>This technology is pretty cool."""
text102#0,"""You can fight pretty efficiently by<br>switching your weapons based on<br>the opponent or battlefield."""
11_voice_NPC_5003_100#0,"""Anyhow, I'm done practicing for now.<br>Thanks, partner. I appreciate you<br>keeping me company."""
linewindow#1,"""<br>『サブパレット』について<br>"""
text00#1,"""『サブパレット』について"""
text01#1,"""サブパレットについて、説明します。"""
text02#1,"""サブパレットは、アイテムとスキル、テクニックの設定を<br>組み合わせて登録し、即座に使用できます。<br><br>カーソル左へ：<%SubPaletteLeft><br>カーソル右へ：<%SubPaletteRight>"""
text03#1,"""使用：<%SubPalette>　でパレットを選ぶことで<br>現在カーソル位置に登録されているものを<br>使用することができます。<br><br>使用するサブパレットを切り替えることもできます。<br><%PaletteReverse>か<%PaletteForce> で武器パレットを表示した後<br><%SubPaletteLeft>か<%SubPaletteRight>で使用するサブパレットを<br>切り替えられます。"""
text04#1,"""サブパレットは複数のブックを切り替えて登録可能です。<br><br>同じアイコンを登録することや入れ替え、削除もできます。"""
text101#1,"""……よっ、と。<br>よし、おれもできてるな！<br>ふぅ、やっぱり便利な技術だぜ、これ。"""
text102#1,"""相手や場所によって<br>武器を切り替えていけば<br>効率よく戦えるもんな。"""
11_voice_NPC_5003_100#1,"""ともかく、これで復習は終わりっと。<br>ありがとな、相棒。<br>わざわざ付き合ってくれてよ。"""
