FullTitle#0,"""Coleccion de armamento"""
FullInfo#0,"""<c f0df60>Con la \""Coleccion de armamento\"", al recolectar los materiales puede recompenzarte con el objeto deseado.<c>"""
Title#0,"""Colecciones Actuales"""
CaptionL#0,"""Nombre de Coleccion"""
AppendCollectionName#0,"""Coleccion"""
CaptionR#0,"""Fecha de Expiracion"""
Extend#0,"""Espacios Expandibles"""
ExtendHaveSheet_RemainEnable#0,"""<yellow>シート所持数拡張（あと$(0)回）<c><pict StarGem>"""
ExtendHaveSheet_RemainDisable#0,"""<gray>シート所持数拡張（あと$(0)回）<pict StarGem><c>"""
PossessionTitle#0,"""Planillas Actuales"""
FullTitle#1,"""Selecciona una planilla"""
FullTitle_v#0,"""シート選択"""
FullInfo#1,"""<c f0df60>Por favor selecciona una planilla de coleccion.<c>"""
Title#1,"""Seleccion de Objeto Recompenza"""
EquipableCheck#0,"""装備可のみ"""
Button#0,"""Regrezar"""
TitleSheetInfo#0,"""Informacion de Planilla"""
SheetNum#0,"""Numero de planillas adquiridas"""
SheetNum_CurrentNum#0,"""$(0) / $(1)"""
SheetNum_CurrentNum_Equal#0,"""<c ff9c70>$(0) / $(1)<c>"""
SheetNum_CurrentNum_Over#0,"""<c ff0000>$(0) / $(1)<c>"""
CoolTime#0,"""Tiempo de Espera"""
CoolTime_Free#0,"""Planilla disponible"""
CoolTime_Wait#0,"""このシートは<br><red>$(0)<c><br>まで入手できません。<br>（スタージェムでリセット可能）"""
CoolTime_SheetExpired#0,"""No es posible obtener una planilla<br>si esta a expirado."""
FullTitle#2,"""Detalles de Planilla"""
FullInfo#2,"""<c f0df60>Si derrota los enemigos objetivo y recolecta los objetos requeridos, seras recompenzado con el objeto deseado.<c>"""
