IncidentName#0,"""$(0)を撃退せよ！"""
TrialBeginMsg#0,"""$(0)を倒せ！"""
TrialAbstract#0,"""$(0)撃退"""
NpcComOnBegin#0,"""緊急連絡だ<br>$(0)が喧騒で出現したようだ<br>調査の障害となる、迎撃しろ。"""
NpcComOnBegin2#0,"""付近にある「ｘｘｘ」を有効利用しろ<br>あの巨体といえど口を狙えば<br>有効なはずだ"""
NpcComOnSuccess#0,"""$(0)の撤退を確認<br>なんとか撃退できたな。<br>引き続き調査を行え"""
NpcComOnBegin#1,"""$(0)の出現を確認した。<br>どうやらこの周辺が縄張りのようだ。<br>各員、警戒を怠るなよ。"""
NpcComOnBegin2#1,"""$(0)との交戦時には<br>周囲の大砲を有効活用しろ。<br>有利に戦闘が進められるはずだ。"""
NpcComOnSuccess#1,"""目標の反応消失を確認。<br>よくやった。"""
NpcComOnBegin#2,"""緊急連絡だ<br>$(0)が喧騒で出現したようだ<br>調査の障害となる、迎撃しろ。"""
NpcComOnBegin2#2,"""付近にある「ｘｘｘ」を有効利用しろ<br>あの巨体といえど口を狙えば<br>有効なはずだ"""
NpcComOnSuccess#2,"""$(0)の撤退を確認<br>なんとか撃退できたな。<br>引き続き調査を行え"""
NpcComOnBegin#3,"""$(0)の反応を感知。<br>各員、警戒を。"""
NpcComOnBegin2#3,"""$(0)には、現地に存在する<br>大砲が有効だという報告があります。<br>状況に応じ、活用してください。"""
NpcComOnSuccess#3,"""敵性存在、反応消失。<br>任務完了となります。"""
