name01#0,"""Hilda"""
name02#0,"""Melitta"""
name03#0,"""Brigitta"""
name01#1,"""ヒルダ"""
name02#1,"""メリッタ"""
name03#1,"""ブリギッタ"""
skit01#0,"""Stop. That's where we've isolated the powerful<br>Darker that showed up earlier."""
skit02#0,"""We were planning to take care of it<br>once the battle was under control."""
skit03#0,"""Ah! There's a breach in the southern bulwark!<br>That big Darker is trying to break through!"""
skit04#0,"""I guess we overestimated how long we<br>could hold it. I need you to go buy us some time."""
skit05#0,"""I'll open up the bulwark so you can get through."""
skit06#0,"""Now! Head inside the bulwark!"""
skit01#1,"""止まれ。<br>その先には、先刻出現した<br>強力なダーカーを隔離している。"""
skit02#1,"""付近の戦況が落ち着いたところで<br>一気に殲滅する予定だが……"""
skit03#1,"""わっ、わわっ！　南側の防壁に亀裂！<br>おっきな敵さんが突破しようと<br>暴れているみたいですー！"""
skit04#1,"""……流石にそう長くは持たないか。<br>すまないが、直接出向いて<br>時間を稼いでほしい。"""
skit05#1,"""防壁を開放しますので<br>その間に突入してください！"""
skit06#1,"""今です、防壁内へ<br>突入してください！"""
