text01#0,"""So, what did you think about the drink?<br>Awesome, right?"""
text02#0,"""That stat boost was pretty cool.<br>Even thought it was only temporary, I<br>liked the effect."""
11_voice_NPC_5003_105#0,"""But it didn't taste very good, did it?<br>Well, maybe it isn't the taste so much."""
text04#0,"""It was kind of stressful with all<br>those Medical Bay nurses watching me<br>all intensely like that."""
text05#0,"""I tell ya, it's like they're waiting for me to<br>keel over or something. Medical Bay gives<br>me the creeps!"""
tutorial01#0,"""Client Orders"""
tutorial02#0,"""Jean has issued a client order.<br><br>Jean is in the south corridor in the shop area."""
tutorial03#0,"""Lola has issued a client order.<br><br>Lola is in the Medical Bay in the Campship."""
text01#1,"""……どうだったよ、相棒。<br>ああいや、まずはおれの感想から<br>言った方がいいか。"""
text02#1,"""能力は伸びた感じがする。<br>一定時間とはいえ、効果が期待できる<br>そんな感じの身体の調子。"""
11_voice_NPC_5003_105#1,"""……けど、不味いな。<br>いや、不味いってわけじゃなくて<br>味はまあいいっちゃいいんだけど……"""
text04#1,"""なんつーか、変に緊張した。<br>周り、みーんなメディカルセンターの<br>職員で、じーっと見られてたからかな？"""
text05#1,"""なんでみんな揃いも揃って見てきて<br>飲み終わったあと安心したように<br>ため息ついてたんだろうな。"""
tutorial01#1,"""『クライアントオーダー』について"""
tutorial02#1,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
tutorial03#1,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
