un_020590_0010#0,"""ん、センパイ、どうした？<br>おれの顔になにかついてる？"""
un_020590_0020#0,"""いや、怪訝そうな顔して<br>こっち見てるから気になってさ。"""
un_020590_0030#0,"""別におれには隠すようなことも<br>ないから、何でも聞いてくれ。"""
un_020590_0040#0,"""１．どうして「おれ」なのか"""
un_020590_0050#0,"""ん？\u3000どうして、と言われても<br>おれはおれじゃないか？"""
un_020590_0060#0,"""女っぽくない、って？<br>なんだセンパイ、ずいぶんと<br>些細なことにこだわるんだな。"""
un_020590_0070#0,"""いいじゃんか。<br>おれがおれのことを<br>どう呼ぼうが、さ。"""
un_020590_0080#0,"""いまさら私とか言おうにも<br>照れくさくてかなわない。"""
un_020590_0090#0,"""……いいかセンパイ。<br>そういうのはもっとかわいさの<br>素養があるやつにいってやれ。"""
un_020590_0100#0,"""おれに言っても<br>仕方がない、だろ？"""
un_020590_0110#0,"""……なんで黙るんだよ。"""
un_020590_0120#0,"""２．かわいいから見ていただけ"""
un_020590_0130#0,"""は？<br>かわいいって、誰が？<br>おれが？"""
un_020590_0140#0,"""センパイ……目、大丈夫か？<br>ちょっと休んだ方が<br>いいんじゃないか？"""
un_020590_0150#0,"""おれがかわいいのなら<br>そこらのダーカーだって全部<br>別嬪さんになっちまう。"""
un_020590_0160#0,"""ああ、ああ。<br>お世辞で言ってくれてるのは<br>わかってるよセンパイ。"""
un_020590_0170#0,"""……ったく。<br>急にそんなこと言われたら<br>びっくりするだろ。ばか。"""
