text01#0,"""If I were to pick one weapon that fits the<br>Hunter perfectly, it'd have to be the sword."""
text02#0,"""Big and sturdy, yet still easy to wield.<br>It's a great all-around weapon."""
text03#0,"""But even a simple weapon like the sword takes<br>time to get used to. You really need to use one<br>in the field to get a feel for it."""
text04#0,"""It just so happens I have a spare gigush<br>lying around. Take it and go practice a bit."""
text05#0,"""Swords"""
text06#0,"""Swords are standard melee weapons that<br>are easy to use, even for beginners."""
text07#0,"""Try basic sword attacks and photon arts for yourself.<br><br>For a close-room weapon, a sword has good reach and<br>is straightforward to use, making it perfect for learning<br>the basics of combat."""
text01#1,"""ハンターの特徴的武装といえば<br>やはりソードだな。"""
text02#1,"""巨大かつ頑丈、それでいて扱いやすい。<br>三拍子の揃ったすばらしい武装だ。"""
text03#1,"""まあ、いくら扱いやすいとはいえ<br>基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ソードが一本余っている。<br>これを使って少し練習してくるといい。"""
text05#1,"""『ソード』について"""
text06#1,"""武器「ソード」について、説明します。<br><br>ソードは、初心者にも扱いやすいスタンダードな打撃武器です。"""
text07#1,"""ソード系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>近接武器の中では、リーチも長く、クセも少ないので<br>基本の戦闘を覚えるのに適しているでしょう。"""
