IncidentName#0,"""Desactivar las Bombas de Tiempo"""
TrialBeginMsg#0,"""Desactivar todas las bombas con temporizador!"""
TrialAbstract#0,"""Desactivar todas las bombas temporizadoras!"""
ToastOnHalfFinish#0,"""Quedan la mitad de las bombas temporizadoras."""
ToastOnLast#0,"""Solo queda una bomba temoprizadora."""
ToastCollect#0,"""$(0) ha desactivado una bomba."""
ToastCollect2#0,"""Una bomba temporizadora ha sido desactivada."""
ToastRewards#0,"""$(0) Ha ganado $(1) EXP y $(2) mesetas."""
NpcComOnBegin#0,"""Hemos identificado varias bombas de tiempo<br>establecidas por Darkers! <br>Tendra que lidiar con ellas antes<br>de que exploten."""
NpcComOnBegin2#0,"""Tendras que averiguar como desactivar <br>las bombas, ten cuidado que pueden <br>emitir una alta descarga electrica. <br>Revisalas con mucho cuidado"""
NpcComOnSuccess#0,"""Todas las bombas han sido desactivadas.<br>Has hecho un buen trabajo."""
NpcComOnFailure#0,"""Las bombas explotaron!<br>¡¿Estas bien?!"""
NpcComOnLastHalf#0,"""Usted ha desactivado la mitad de las bombas.<br>Sigue asi!"""
NpcComOnLastOne#0,"""Queda una sola bomba!"""
NpcComOnCorrect#0,"""La bomba temporizadora se ha detenido y<br>ya no es un peligro. <br>La desactivacion fue un exito."""
NpcComOnIncorrect#0,"""Parece que presiono el interruptor equivocado,<br>tendras que esperar que se enfrie un poco <br>para poder presionar otro interruptor."""
NpcComOnRemain30#0,"""Solo quedan 30 segundos antes de que explote! Trata de desactivarlas tan rapido como te sea posible."""
NpcComOnJoin#0,"""Actualmente estamos trabajando para desactivar algunas<br>bombas. Por favor, brinde su apoyo!"""
NpcComOnBegin#1,"""Bien... parece que tenemos algunas<br>bombas activadas. Date prisa,<br>necesitamos desactivar estas cosas antes de que exploten."""
NpcComOnBegin2#1,"""Estas cosas emiten una gran<br>cantidad de energia, pero pueden<br>ser desactivadas. hay que hacerlo antes de que acabe el tiempo."""
NpcComOnSuccess#1,"""¡Excelente! Todas las bombas han sido<br>desactivadas. Bien hecho."""
NpcComOnFailure#1,"""Las lecturas termicas estan fuera de<br>control! es demasiado tarde!"""
NpcComOnLastHalf#1,"""Excelente, has desactivado la mitad<br>de ellas, sigue asi!"""
NpcComOnLastOne#1,"""Solo queda una bomba.<br>No bajes la guardia hasta que <br>todas hayan sido desactivadas."""
NpcComOnCorrect#1,"""Las lecturas de estas bombas se han debilitado.<br>Parece que has desactivado algunas."""
NpcComOnIncorrect#1,"""Algo salio mal...<br>Parece que vas a tener que esperar <br>un poco antes de probar otro codigo <br>de desactivacion."""
NpcComOnRemain30#1,"""¡Date prisa! Solo quedan 30 segundos<br>para que las bombas exploten."""
NpcComOnJoin#1,"""Ah, has llegado en el momento perfecto.<br>Actualmente estamos tratando con estas<br>bombas. Creo que puedes dar una mano?"""
NpcComOnBegin#2,"""Peligro! Estamos recibiendo algunas lecturas peligrosas!<br>parece que tenemos algunas bombas<br>en nuestro alcance... y muchas de ellas!"""
NpcComOnBegin2#2,"""Pe-Pero no entres en panico! puedes detener estas cosas<br>antes de que exploten. Inspeccionalas de cerca y busca<br>la manera de desactivarlas!"""
NpcComOnSuccess#2,"""/face2 Muy bien! cada bomba de tiempo se detubo<br>el conteo. Excelente trabajo!"""
NpcComOnFailure#2,"""Esa explocion llego hasta las nubes!<br>E-Estas bien?!"""
NpcComOnLastHalf#2,"""Solo queda la mitad de las bombas!<br>Sigue asi, lo estas haciendo genial!"""
NpcComOnLastOne#2,"""Solo queda una!!"""
NpcComOnCorrect#2,"""Las has desactivado todas!<br>La desactivacion fue un exito!"""
NpcComOnIncorrect#2,"""Hmm, parece que cometistes un error.<br>Tendras que espera un poco hasta que puedas<br>intentar de nuevo..."""
NpcComOnRemain30#2,"""Solo tienes 30 segundos!<br>Por favor apurate!"""
NpcComOnJoin#2,"""/face2 What perfect timing! We're right in the<br>middle of a darker time bomb deactivation<br>operation! Care to lend a hand?"""
