name01#0,"""Zeno"""
name01#1,"""ゼノ"""
linewindow001#0,"""You've achieved the objective for the client order<br>""Killing Time on Naberius."" Go file a report with Zeno."""
11_voice_NPC_5001_100#0,"""That went well.<br>Nice job, <%me>."""
text02#0,"""But your work isn't over just yet. Filing a<br>report is part of the client order process."""
text03#0,"""I'll be waiting at my usual spot. Come see me<br>to file your report, okay?"""
text04#0,"""See you then!"""
linewindow001#1,"""クライアントオーダー「暇つぶしにナベリウスへ」の目標を達成しました。<br>ゼノのところへ達成報告に向かいましょう。"""
11_voice_NPC_5001_100#1,"""<%me><br>いい感じだったな、お疲れさん。"""
text02#1,"""って、労うのはまだ早いか。<br>クライアントオーダーは報告までが<br>一連の流れだからな。"""
text03#1,"""んじゃ、俺はいつもの場所で<br>待ってるから、報告までの流れも<br>しっかりやってみようぜ。"""
text04#1,"""じゃあな！"""
