IncidentName#0,"""Wipe out the Mad Jellies!"""
TrialBeginMsg#0,"""Destruye el Mad Jellies<br>dentro del limite de tiempo!"""
TrialAbstract#0,"""Destruye el Mad Jellies<br>dentro del limite de tiempo!"""
NpcComOnBegin#0,"""マッドゼリーの反応を確認！<br>時間経過で４段階に肥大化<br>限界を超えると爆発します！"""
NpcComOnAfterBegin#0,"""目標は、時間内の一定量撃破。<br>爆発を防ぐため、肥大化した個体から<br>撃破し、安全に消滅させてください。"""
NpcComOnSuccess#0,"""/face2 目標を達成。<br>周囲のマッドゼリーの掃討に<br>成功しました。"""
NpcComOnFailure#0,"""/face4 時間内の一定量撃破に失敗。<br>仕方ありません……<br>通常任務に戻ってください。"""
NpcComOnDanger#0,"""発光を始めた個体は、<br>爆発寸前の危険な状態です。<br>最優先で撃破し、消滅させてください。"""
NpcComOnFirstExplode#0,"""マッドゼリーの爆発を確認しました。<br>爆発前に撃破できれば、消滅時に<br>アイテムが吐き出されるようです。"""
NpcComOnHalf#0,"""/face2 目標まで、あと半分です。<br>なお、「赤い個体は炎に強い」のように<br>体色ごとに属性耐性があるようです。"""
NpcComOnFinalNotice#0,"""残り時間、わずかです。<br>肥大化したものほど、撃破した時の<br>達成度ゲージが多めに増加します。"""
NpcComOnBegin#1,"""マッドゼリーの群生地だな。<br>徐々に肥大化していって<br>4段階目で爆発する特性がある。"""
NpcComOnAfterBegin#1,"""目標は、時間内の一定量撃破。<br>爆発を防ぐため、肥大化した個体から<br>撃破し、安全に消滅させろ。"""
NpcComOnSuccess#1,"""目標を達成した。<br>周囲のマッドゼリーの掃討に成功。<br>よくやった。"""
NpcComOnFailure#1,"""時間内の一定量撃破に失敗。<br>これ以上は無駄だ。<br>通常任務に戻れ。"""
NpcComOnDanger#1,"""発光を始めた個体は、<br>爆発寸前の危険な状態だ。<br>迅速に破壊して消滅させろ。"""
NpcComOnFirstExplode#1,"""マッドゼリーの爆発を確認した。<br>爆発前に撃破すれば、消滅時に<br>アイテムが吐き出されるようだ。"""
NpcComOnHalf#1,"""目標の半分を達成した。<br>体色で属性耐性があるようだ。<br>気をつけて消滅させていけ。"""
NpcComOnFinalNotice#1,"""残り時間、わずかだ。<br>肥大化したものほど、達成度が<br>高い。優先的に狙っていけ。"""
NpcComOnBegin#2,"""ぬめっとしたヤツが降ってきています！<br>放っておくと、ふくらんでいって<br>爆発するので気をつけてくださいー。"""
NpcComOnAfterBegin#2,"""時間内にいっぱい消してくださいー。<br>爆発しちゃうので、まずは<br>ふくらんでいるのを狙ってくださいー。"""
NpcComOnSuccess#2,"""/face2 目標を達成しましたー。<br>いっぱい消滅させることができました。<br>おつかれさまでしたー。"""
NpcComOnFailure#2,"""/face4 落ちてこなくなってしまいましたね。<br>失敗みたいですー。"""
NpcComOnDanger#2,"""光っているのがいますよー！<br>これ以上大きくなると<br>爆発しちゃいます！\u3000注意ですよー！"""
NpcComOnFirstExplode#2,"""わっ、爆発しちゃいました！<br>頑張ってください。うまく消せれば<br>アイテムを落としますよ。"""
NpcComOnHalf#2,"""/face2 いい感じですよー。<br>でも、色にあった属性攻撃は<br>あまり効かないみたいですー。"""
NpcComOnFinalNotice#2,"""そろそろ出てこなくなるかも……！<br>ふくらんでいるヤツほど<br>ポイント高いですよー。"""
