linewindow#0,"""Weapon Upgrades"""
text00#0,"""Weapon Upgrades"""
text01#0,"""You can upgrade weapons at the Item Lab. Upgrading allows you<br>to customize your weapons and armor units."""
text02#0,"""You need the following to perform an upgrade:<br>- A grinder<br>- Meseta<br><br>Note that they will be used up in the process of upgrading<br>weapons and armor."""
text03#0,"""When you carry out an upgrade, it will either succeed or fail.<br>Success improves a weapon's power by a level, up to a maximum of ten levels.<br>Failure reduces the weapon's power by one level."""
text04#0,"""Upgraded items show a value from +1 to +10<br>after their name in the item data."""
text05#0,"""To perform an elemental upgrade, you need the following three things:<br> - Meseta<br> - Synthesizers<br> - Component weapons<br>This lets you upgrade the strength of a weapon's element (fire, ice, etc.).<br>Use components with the same element to raise elemental power further."""
text06#0,"""To add an ability, you need the following two things:<br> - Meseta<br> - Components (weapons or armor units)<br>This lets you add an ability of your choice from the components.<br>The equipment used as components must have at least the same number<br>of abilities, but if the target item has no abilities, this<br>requirement is waived."""
text07#0,"""The chance of abilities being transferred over depends<br>on their number and level. Try creating your own customized weapon."""
linewindow#1,"""<br>『武器強化』について<br>"""
text00#1,"""『武器強化』について"""
text01#1,"""『武器の強化』について、説明します。<br><br>アイテムラボの施設で、武器は強化することが可能です。<br>アイテムラボとは、武器やユニットをカスタマイズしてする施設です。"""
text02#1,"""アイテム強化に必要なのは以下の２種類です。<br>　・グラインダー<br>　・メセタ<br><br>これらのアイテムを消費して、武器や防具を強化していきます。"""
text03#1,"""強化を実行すると、成功または失敗が発生します。<br>強化に成功した場合は、最大で１０段階性能がアップします。<br>強化に失敗した場合は、性能が１段階ダウンします。"""
text04#1,"""強化後のアイテムデータには、名称の語尾に<br>＋１～１０の表記が追加されます。"""
text05#1,"""続いて、属性強化に必要なのは、以下の３種類です。<br>　・メセタ<br>　・シンセサイザー<br>　・素材武器<br>武器の属性（炎や氷など）を強化できます。<br>同じ属性の素材を使うと、より属性値が上がります。"""
text06#1,"""特殊能力追加に必要なのは、以下の２種類です。<br>　・メセタ<br>　・素材（武器またはユニット）<br>　素材の特殊能力から好みのものを追加できます。<br>　素材となる装備品は、元の装備品と同数の特殊能力が<br>　必要ですが、例外的に元の特殊能力数がゼロの場合、<br>　素材の特殊能力数は特に問われません。"""
text07#1,"""特殊能力は、数やレベルによって、継続される確率が変わります。<br>自分だけのスペシャルウェポンを作り上げましょう。"""
