st_045040_0001#0,"""A.D.2028/4/17/14:00"""
st_045040_0010#0,"""……マザー・クラスタの奴ら<br>月にとんでもないモン作りやがって。"""
st_045040_0020#0,"""アーデムさんからの情報によると<br>かつてエーテルを世界中に行き渡らせる際に<br>使用した場所のようです。"""
st_045040_0030#0,"""各国の協力の下、エーテルの散布が終わった後にも<br>継続的な資材の運搬は行われていましたが<br>その使い道などは不明なままだった、とのこと……"""
st_045040_0040#0,"""……世界ぐるみの無駄遣いだな。"""
st_045040_0050#0,"""空気が整えられているどころか<br>重力まできっちり制御されてやがる。<br>……とんでもない技術、隠してやがって。"""
st_045040_0060#0,"""十分に発達した科学技術は<br>魔法と見分けが付かない、とは言うが<br>これはどっちのものなんだかな……"""
st_045040_0070#0,"""１．科学だろう"""
st_045040_0080#0,"""２．魔法じゃないのか？"""
st_045040_0090#0,"""まあ、そうだよな。<br>となると、このぐらいのものを作るだけの<br>技術力はあるってことだ、マザー・クラスタは。"""
st_045040_0100#0,"""ここまでの物質を作り出す魔法とか<br>恒久的な重力制御の手段はとんと知らねえ。<br>……おそらく、科学だと思うんだが。"""
st_045040_0110#0,"""物資はともかく、この構造を作る技術は<br>地球の進化速度で至るようなもんじゃねえ。<br>ここにしても、エーテルにしてもだ。"""
st_045040_0120#0,"""マザー・クラスタの奴らが<br>アークス側に侵入していたのは<br>そういった技術を盗み取るためなのか……？"""
st_045040_0130#0,"""……っと、そんなの考えるのは後回しでいいな。<br>まず先に、ヒツギを助け出さねえと。"""
st_045040_0140#0,"""ヒツギさんの反応を探しているんですが<br>その奥から、通信が阻害されてるみたいで<br>上手くいきません。"""
st_045040_0150#0,"""邪魔してくるってことは<br>見られたらマズいものが奥にあるってことだ。<br>進もうぜ、<%me>。"""
skit01#0,"""Because I have decided so"""
skit02#0,"""覚悟"""
