11_voice_NPC_5050_101#0,"""Okay, now that I have your report, you've cleared<br>all the conditions and passed the test."""
text02#0,"""I hereby grant you permission to select a<br>subclass, <%me>."""
text03#0,"""Now then, let me give you some advice.<br>Subclasses give you more options in combat,<br>it's true."""
text04#0,"""However, you shouldn't get cocky. All it means is<br>there's more that you can do. It doesn't mean<br>that you've become stronger."""
text05#0,"""Don't forget that. After all, there's only one<br>of you, and we'd hate to lose you."""
text100#0,"""Subclasses"""
text101#0,"""When you set a subclass, some of its abilities will become available<br>along with those from your main class. To set a subclass, choose<br>\""Switch Classes,\"" then \""Select Subclass\"" at the Class Counter."""
text102#0,"""Hunters who select Force as a subclass can unleash<br>Foie from the subpalette and gain the benefits of the Boost PP skill."""
text103#0,"""However, the main class's equippable weapons, alt actions, and<br>evasive actions will remain unchanged. For example, Hunters who<br>select Force as a subclass can't equip rods or use Mirage Escape."""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>サブクラス使用制限を解除します。"""
text03#1,"""……さて、ここからは私の言葉。<br>サブクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『サブクラス』について"""
text101#1,"""サブクラスについて説明します。<br><br>サブクラスを設定すると、メインクラスを基本として<br>サブクラスの能力が使えます。<br>また、サブクラスにも一部経験値が入ります。<br><br>サブクラスの設定はクラスカウンターの「クラス変更」から<br>「サブクラス選択」を選ぶことで行えます。"""
text102#1,"""ハンターがサブクラスにフォースを指定すると<br>サブパレットに設定したフォイエを放ったり、<br>スキル「ＰＰアップ」の効果を受けたりすることができます。"""
text103#1,"""ただし、装備可能な武器や補助アクション、回避アクションなどは<br>メインクラスのものが適用されます。<br><br>メインクラスがハンターの場合、サブクラスにフォースを設定しても<br>ロッドは装備できず、ミラージュエスケープも使用できないので<br>ご注意ください。"""
