name01#0,"""Kabrakan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""Wow... You failed an investigation <br>because you were too scared. <br>You're really lousy..."""
skit02#0,"""/ci3 1 I'm not like this all the time!<br>I'm just having an off day today.<br>That's all!"""
skit01#1,"""うーわ……気味悪がってて<br>調査失敗とか、ねーちゃんほんとに<br>ダメダメなんやな……"""
skit02#1,"""/ci3 1 /toge た、たまたまよ！<br>今日は調子が悪かっただけ！<br>それだけなんだから！"""
skit01#0,"""Wow... You failed an investigation <br>because you were too scared. <br>You're really lousy..."""
skit02#0,"""/toge I'm not like this all the time!<br>I'm just having an off day today.<br>That's all!"""
skit01#1,"""うーわ……気味悪がってて<br>調査失敗とか、ねーちゃんほんとに<br>ダメダメなんやな……"""
skit02#1,"""/toge た、たまたまよ！<br>今日は調子が悪かっただけ！<br>それだけなんだから！"""
