Title#0,"""Information"""
Menu_Notify#0,"""Ankündigung"""
Menu_LoginStamp#0,"""Loginstempel"""
Menu_Tutorial#0,"""Tutorials"""
Menu_Help#0,"""Hilfemenü"""
Menu_Tips#0,"""Ladetipps"""
Menu_Element#0,"""Glossar spezieller Fähigkeiten"""
Title#1,"""Tutorials"""
Title#2,"""Ladetipps"""
Title#3,"""Glossar spezieller Fähigkeiten"""
Name#0,"""Fähigkeit"""
Info#0,"""Details"""
ParameterTltle#0,"""Stat-Modifikator"""
HP#0,"""HP"""
PP#0,"""PP"""
Strike#0,"""S-ANGR"""
Firearm#0,"""R-ANGR"""
Technic#0,"""T-ANGR"""
Dex#0,"""GES"""
DfpStrike#0,"""S-VERT"""
DfpFirearm#0,"""R-VERT"""
DfpTechnic#0,"""T-VERT"""
AttributeResistFire#0,"""Feuerres."""
AttributeResistIce#0,"""Eisres."""
AttributeResistThunder#0,"""Donnerres."""
AttributeResistWind#0,"""Windres."""
AttributeResistLight#0,"""Lichtres."""
AttributeResistDark#0,"""Finsternisres."""
