Title#0,"""Status des Partners"""
Status_Character#0,"""Charakter"""
Status_Action#0,"""特性"""
Status_Title#0,"""特殊補正"""
Status_Comment#0,"""Kommentar"""
Title_PaperDoll#0,"""キャラクターの外見"""
Support_Status_Character#0,"""Persönlichkeit"""
Title#1,"""フレンドパートナー登録"""
Register_Class#0,"""Aktuelle Klasse"""
Register_Name#0,"""フレンドパートナー名"""
Register_Attack#0,"""キャラクター性"""
Register_Ai#0,"""特性"""
Register_Sp#0,"""特殊補正"""
Register_Message#0,"""メッセージ"""
Error#0,"""Fehlermeldung"""
Register_M#0,"""フリーパートナー登録"""
Register_M_C#0,"""Anderen, nicht befreundeten Spielern die Benutzung erlauben"""
Squire_Sort1#0,"""Standardsortierung"""
Squire_Sort2#0,"""名前順"""
Squire_Sort3#0,"""レベル順"""
Squire_Sort4#0,"""好感度順"""
Squire_Sort5#0,"""グループ順"""
Squire_Tab1#0,"""パートナー"""
Squire_Tab2#0,"""フレンド"""
Squire_Tab3#0,"""サポート"""
Squire_Tab4#0,"""フリー"""
Squire_FUN#0,"""FUNがもらえます"""
Title#2,"""Partnerliste"""
HelpText#0,"""<c f0df60>冒険するパートナーを選択してください。フレンド/サポート/フリーは同行系オーダーの失敗にはなりません。<c>"""
SquireMenu_Item1#0,"""パーティーに呼ぶ"""
SquireMenu_Item2#0,"""Status ansehen"""
SquireMenu_Item3#0,"""Zurück"""
SquireMenu_Item4#0,"""パートナーを交代する"""
ErrorExsit#0,"""$(0)は、すでにクエスト内の別のプレイヤーが呼び出しています。"""
EmptyText#0,"""Keine registrierten Partner"""
MenuItemHint#0,"""$(0)"""
NotCalls#0,"""$(0)は、現在呼び出すことができません。"""
AllApcReturn#0,"""呼び出したパートナーを全員帰還させる"""
Message#0,"""本当に全員帰還させますか？"""
Message2#0,"""$(0)を帰還させ<br>$(1)をパーティーに参加させます。<br><br>よろしいですか？"""
Title2#0,"""パートナー帰還"""
Title3#0,"""パートナー交代"""
