11_voice_NPC_5050_101#0,"""Okay, now that I have your report, you've cleared<br>all the conditions and passed the test."""
text02#0,"""I hereby grant you, <%me>,<br>permission to select the Techer class."""
text03#0,"""Now then, let me give you some advice.<br>The use of a new class gives you more<br>options in combat, it's true."""
text04#0,"""But don't get cocky. All it really means<br>is there's more that you can do. It doesn't<br>mean that you've become more formidable."""
text05#0,"""Don't forget that. After all, there's only one<br>of you, and we'd hate to lose you."""
text100#0,"""Techers"""
text101#0,"""Techers are a class skilled in support actions. While the<br>techs of the Force class are more attack-oriented, those of the<br>Techer class tend to be more for supporting roles."""
text102#0,"""This class features enhanced effect and range for support<br>and recovery techniques, including improved Heal<br>recovery and an added critical effect to Shifta."""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>テクタークラス使用を許可します。"""
text03#1,"""……さて、ここからは私の言葉。<br>新たなクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『テクター』について"""
text101#1,"""テクターについて説明します。<br><br>テクターは近接戦闘を得意とするクラスです。<br><br>フォースよりも高い打撃耐性があり、<br>ウォンドによる攻撃で敵を圧倒します。"""
text102#1,"""また、レスタやシフタ、デバンドなどの<br>効果範囲を広げるスキルを持っているのが特徴で、<br>前線で戦いながら支援することに長けています。"""
