HELLO#0,"""Ah-aghia, me e-esforzare!"""
HELLO_FAV4#0,"""Po-por favor mejore sus objetos aqui!"""
HELLO_FAV3#0,"""Po-por favor mejore sus objetos aqui!"""
HELLO_FAV2#0,"""Po-por favor mejore sus objetos aqui!"""
HELLO_FAV1#0,"""Po-por favor mejore sus objetos aqui!"""
HELLO_FAV0#0,"""Po-por favor mejore sus objetos aqui!"""
Q0#0,"""Po-por favor mejore sus objetos aqui!"""
GOODBYE#0,"""Po-por favor vuelve pronto! e-esta bien?"""
GOODBYE_FAV4#0,"""Po-por favor vuelve pronto! e-esta bien?"""
GOODBYE_FAV3#0,"""Po-por favor vuelve pronto! e-esta bien?"""
GOODBYE_FAV2#0,"""Po-por favor vuelve pronto! e-esta bien?"""
GOODBYE_FAV1#0,"""Po-por favor vuelve pronto! e-esta bien?"""
GOODBYE_FAV0#0,"""Po-por favor vuelve pronto! e-esta bien?"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
