name01#0,"""Arkuma"""
text01#0,"""<%me><br>I apologize for the sudden notice."""
text02#0,"""How do you do?<br>My name is [Arkuma]."""
text03#0,"""I am the humanoid interface managing <br>the ARKS Ship Competition."""
text04#0,"""Nice to meet you."""
text05#0,"""Now, the [ARKS Ship Competition] event <br>that involves the entire ship is about to <br>start soon."""
text06#0,"""[ARKS Ship Competition] is where all <br>players battle each other trying to gain <br>points and win prizes."""
text07#0,"""I will explain the details of the event at <br>my post in the shop area."""
text08#0,"""I will wait for your visit in front of the <br>Monument Plaza. As I am very cute, you <br>should be able to locate me easily."""
text09#0,"""I'll see you soon,"""
text10#0,"""[Arkuma's Location]"""
text11#0,"""Arkuma is located at the shop area/Monument Plaza.<br>Let's head to the shop area."""
