name01#0,"""Astarte"""
text01#0,"""Comencemos el cuestionario sobre Conocimiento General."""
text02#0,"""Su vision es impresionante. Espero sus futuros esfuerzos."""
text03#0,"""Su comprension del Conocimiento General es impresionante. Aqui hay una recompensa por obtener una puntuacion perfecta en el examen."""
text04#0,"""Has recibido [Wall Paint] de Astarte."""
text05#0,"""Si usted esta interesado en otros temas, por favor no dude en desafiarse."""
text06#0,"""Su comprension sobre el Conocimiento General es muy bajo. Una recompensa se prepara para los ganadores del examen. Por favor, no dude en volver a intentarlo."""
text07#0,"""Usted ha contestado todo correctamente en el desafio anterior. Si desea refrescar su memoria, no dude en volver."""
text00#0,"""¿Cual es el nombre oficial de la enorme flota a la que todos pertenecemos?"""
text01#1,"""Oracle"""
text02#1,"""Ragol"""
text03#1,"""Goulart"""
text04#1,"""Correcto. La enorme flota en la que viajamos libremente entre los planetas se llama \""Oracle\""."""
text05#1,"""Incorrecto. La respuesta correcta es  \""Oracle\""  La enorme flota en la que viajamos libremente entre los planetas"""
text06#1,"""Incorrecto. La respuesta correcta es  \""Oracle\""  La enorme flota en la que viajamos libremente entre los planetas"""
text07#1,"""Aqui hay otra pregunta relacionada con Oracle."""
text00#1,"""Dentro de Oracle, hay una organizacion que envia tropas para llevar a cabo investigaciones sobre los planetas."""
text08#0,"""<%me>, Usted tambien esta afiliado a esa organizacion. ¿Cual es su nombre formal?"""
text01#2,"""Guardians"""
text02#2,"""ARKS"""
text03#2,"""Hunters"""
text04#2,"""Incorrecto. La respuesta correcta es \""ARKS\""."""
text09#0,"""Los miembros ARKS son enviados a planetas recien descubiertos para llevar a cabo investigaciones y establecer comunicaciones con los nativos."""
text10#0,"""Sin embargo, el trabajo de los ARKS a menudo excede simplemente las investigaciones."""
text05#2,"""Correcto. Su nombre oficial es \""ARKS\""."""
text12#0,"""Los miembros ARKS son enviados a planetas recien descubiertos para llevar a cabo investigaciones y establecer comunicaciones con los nativos."""
text13#0,"""Sin embargo, el trabajo de los ARKS a menudo excede simplemente las investigaciones."""
text06#2,"""Incorrecto. La respuesta correcta es \""ARKS\""."""
text11#0,"""Los miembros ARKS son enviados a planetas recien descubiertos para llevar a cabo investigaciones y establecer comunicaciones con los nativos."""
text14#0,"""Sin embargo, el trabajo de los ARKS a menudo excede simplemente las investigaciones."""
text00#2,"""Hay otro deber impuesto a los miembros de ARKS."""
text07#2,"""Es eliminar todo mal que amenaza la existencia del universo."""
text08#1,"""¿Cual es el nombre del ser que consume todo en su camino, el enemigo del universo y de los ARKS?"""
text01#3,"""Darker"""
text02#3,"""SEED"""
text03#3,"""ASTARTE"""
text04#3,"""Correcto. \""Darker\"", el enemigo de los ARKS. Es la misma oscuridad que corre desenfrenada dentro del universo."""
text09#1,"""La mision de los ARKS es investigar planetas, y ademas eliminar Darkers."""
text10#1,"""Los Darkers consume todo en su camino, y los consumidos se convertiran en Darkers ellos mismos. Tambien es deber de los ARKS realizar las limpiezas."""
text11#1,"""Su jurisdiccion se extiende incluso a los nativos infectados. Es una simple cuestion de matar o ser asesinado."""
text05#3,"""Incorrecto. Los enemigos de los  ARKS son los \""Darkers\"". Es la misma oscuridad que corre desenfrenada dentro del universo"""
text12#1,"""La mision de los ARKS es investigar planetas, y ademas eliminar Darkers."""
text13#1,"""Los Darkers consume todo en su camino, y los consumidos se convertiran en Darkers ellos mismos. Tambien es deber de los ARKS realizar las limpiezas."""
text14#1,"""Su jurisdiccion se extiende incluso a los nativos infectados. Es una simple cuestion de matar o ser asesinado."""
text06#3,"""...Yo no soy enemigo de ARKS. El enemigo de ARKS son los \""Darkers\"". Es la misma oscuridad que corre desenfrenada dentro del universo."""
text15#0,"""La mision de los ARKS es investigar planetas, y ademas eliminar Darkers."""
text16#0,"""Los Darkers consume todo en su camino, y los consumidos se convertiran en Darkers ellos mismos. Tambien es deber de los ARKS realizar las limpiezas."""
text17#0,"""Su jurisdiccion se extiende incluso a los nativos infectados. Es una simple cuestion de matar o ser asesinado."""
