text01#0,"""Welcome back. I can tell you have made great<br>progress."""
text02#0,"""In fact, I'd say you're ready to go on to the next<br>boot camp session."""
text03#0,"""But first, let me tell you about another skill you<br>should be using."""
11_voice_NPC_5054_100#0,"""Please attack steadily while<br>remembering this momentum."""
text100#0,"""Set Trap"""
text101#0,"""Set Trap<br><br>Set Trap is a Ranger skill.<br>It sets a timed trap on the battlefield to catch enemies in the blast."""
text102#0,"""Once you set a trap, a timer appears above.<br>The countdown begins from the moment a trap is set."""
text104#0,"""To use a trap, you must learn the corresponding Ranger trap skill.<br>The traps themselves can be bought from shops.<br><br>Use traps to turn the tables when you're in a jam."""
text01#1,"""ご苦労だった。<br>大いに成長を感じる内容だった。"""
text02#1,"""この調子なら、そのまま次の特訓に<br>進むのも悪くないだろう。"""
text03#1,"""ところで、レンジャーには<br>こういうスキルもあるが<br>活用しているかな？"""
11_voice_NPC_5054_100#1,"""今の勢いを忘れないうちに<br>どんどん攻めていってくれたまえ。"""
text100#1,"""『トラップ』について"""
text101#1,"""トラップについて<br><br>トラップは、レンジャーのスキルの１つです。<br>時限式のトラップをフィールドに設置し<br>敵を爆発に巻き込ませることが可能です。"""
text102#1,"""設置したトラップは、タイマーが上部に表示され<br>設置したタイミングから、カウントダウンが始まります。"""
text103#1,"""タイマーが０になったタイミングで起爆します。<br><br>爆発の範囲や、効果はトラップの種類によって異なります。"""
text104#1,"""トラップを使用するには、レンジャースキルの<br>トラップスキルを各種取得する必要があります。<br>トラップ自体は、ショップなどから購入が可能です。<br><br>危機的状況において、トラップを活用しつつ窮地を切り抜けましょう。"""
