text00#0,"""Mags"""
text01#0,"""Tutorial<br><br>Mags are mechanical creatures that support your character.<br>They are like partners that develop alongside you."""
text00#1,"""マグの装備の仕方について"""
text01#1,"""マグの装備の仕方について説明します。<br><br>マグを取得しても<br>装備しなければ効果はありません。<br>メニューからマグの一覧を表示し、<br>任意のマグを選択し「装備する」を選びましょう。<br><br>マグが装備され、パラメーターの補正や<br>戦闘支援など様々な効果を<br>受けることが出来ます。"""
11_voice_NPC_5050_101#0,"""Your report has been accepted.<br>The license application is also all in order.<br>We look forward to your continued success."""
text02#0,"""Well, now that we've got all the <br>official stuff out of the way, <br>let me add a few words of my own."""
text03#0,"""Mags can think and act for themselves.<br>Each one is unique, just like you and me, as they<br>develop based on how their owner treats them."""
text04#0,"""I don't know the specifics of how Mags evolve,<br>but an ARKS operative would probably be able to<br>tell you more."""
text05#0,"""From here on in, your Mag will share your fate.<br>Take good care of it."""
linewindow0001#0,"""You got a \""Mag License.\"""""
text100#0,"""Client Order"""
text101#0,"""Echo has issued a client order.<br><br>Echo is at the ARKS Counter in the Campship."""
tutorial02#0,"""Hans has issued a client order.<br><br>Hans is in front of the west quest counter in the Campship."""
tutorial03#0,"""Amelin has issued a client order.<br><br>Amelin is in Monument Plaza in the shop area."""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>ライセンス授与の申請も滞りなく。<br>より一層の活躍を期待します。"""
text02#1,"""……とまあ、規定の報告文は<br>このような感じで締められています。<br>そのため、ここからは私の言葉です。"""
text03#1,"""マグは独自に思考し、行動します。<br>それは一律化したものではなく<br>所有者の意をくむように、成長します。"""
text04#1,"""マグの育成については、私は仔細を<br>存じ上げませんが、アークスの<br>どなたかならば、詳しいかと思います。"""
text05#1,"""なんにせよ、これ以後マグは<br>貴方と一蓮托生の存在となります。<br>大事に大切に、してあげてください。"""
linewindow0001#1,"""「マグライセンス」を入手しました。"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""エコーに<br>クライアントオーダーが<br>発生しました。<br><br>エコーは<br>ゲートエリア・アークスカウンターにいます。"""
tutorial02#1,"""ハンスに<br>クライアントオーダーが<br>発生しました。<br><br>ハンスは<br>ゲートエリア・西クエストカウンター前にいます。"""
tutorial03#1,"""エメラインに<br>クライアントオーダーが<br>発生しました。<br><br>エメラインは<br>ショップエリア・モニュメント広場にいます。"""
