name01#0,"""Kabrakan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/ci5 4 /toge hey, something's falling!<br>What's that?! Hey, explain that to me!"""
skit02#0,"""/toge How should I know?!<br>It's your job to investigate that, isn't it?!"""
skit01#1,"""/ci5 4 /toge な、なんか降ってきた！？<br>何これ！　ちょっとあんた<br>説明しなさいよ！"""
skit02#1,"""/toge そ、そんなんオレが知るか！<br>そういうの調査するのが<br>あんたらの仕事やろ！"""
skit01#0,"""/toge hey, something's falling!<br>What's that?! Hey, explain that to me!"""
skit02#0,"""/toge How should I know?!<br>It's your job to investigate that, isn't it?!"""
skit01#1,"""/toge な、なんか降ってきた！？<br>何これ！　ちょっとあんた<br>説明しなさいよ！"""
skit02#1,"""/toge そ、そんなんオレが知るか！<br>そういうの調査するのが<br>あんたらの仕事やろ！"""
